amtProduced_need, avg_price, sd, consumption_rate, consumed, char
0.793129, 3.425668, 0.818581, 2.021896, 1.338069, C
0.793129, 3.749699, 0.768532, 2.021896, 1.268984, C
0.793129, 4.246640, 0.927754, 2.021896, 1.251231, C
0.793129, 4.921226, 0.879176, 2.021896, 1.208327, C
0.793129, 5.493138, 0.912639, 2.021896, 1.371311, C
0.793129, 6.306166, 1.159095, 2.021896, 1.209560, C
0.793129, 6.607007, 1.054260, 2.021896, 1.527969, C
0.793129, 7.270237, 1.077436, 2.021896, 1.415327, C
0.793129, 8.209887, 1.152522, 2.021896, 1.258670, C
0.793129, 9.074626, 1.282272, 2.021896, 1.321252, C
0.793129, 10.084741, 1.475085, 2.021896, 1.309421, C
0.793129, 11.135108, 1.981113, 2.021896, 1.354670, C
0.793129, 12.242789, 2.082141, 2.021896, 1.400203, C
0.793129, 13.620818, 2.270123, 2.021896, 1.360998, C
0.793129, 15.373232, 2.277665, 2.021896, 1.132262, C
0.793129, 17.037887, 2.625141, 2.021896, 1.340779, C
0.793129, 19.524581, 3.118376, 2.021896, 1.194152, C
0.793129, 22.758187, 3.535426, 2.021896, 1.213137, C
0.793129, 25.773306, 4.566641, 2.021896, 1.320844, C
0.793129, 28.284897, 5.326431, 2.021896, 1.320560, C
0.793129, 31.912002, 6.056885, 2.021896, 1.275027, C
0.793129, 35.917026, 6.960121, 2.021896, 1.374889, C
0.793129, 39.586773, 6.814537, 2.021896, 1.271450, C
0.793129, 44.365275, 8.340964, 2.021896, 1.270217, C
0.793129, 48.905890, 7.864862, 2.021896, 1.270217, C
0.793129, 54.044180, 10.441121, 2.021896, 1.447093, C
0.793129, 60.091006, 10.044422, 2.021896, 1.275311, C
0.793129, 67.400825, 11.491408, 2.021896, 1.259903, C
0.793129, 74.489145, 12.736109, 2.021896, 1.290436, C
0.793129, 85.878501, 17.766305, 2.021896, 1.239684, C
0.793129, 94.891967, 19.127743, 2.021896, 1.435546, C
0.793129, 103.479827, 18.694208, 2.021896, 1.401436, C
0.793129, 112.424370, 18.165218, 2.021896, 1.442690, C
0.793129, 126.946332, 19.203376, 2.021896, 1.309421, C
0.793129, 142.303505, 21.879528, 2.021896, 1.223451, C
0.793129, 159.803691, 23.933200, 2.021896, 1.259903, C
0.793129, 171.802774, 21.843040, 2.021896, 1.462093, C
0.793129, 196.612386, 28.666428, 2.021896, 1.199246, C
0.793129, 211.931268, 31.165960, 2.021896, 1.420422, C
0.793129, 231.822702, 34.701978, 2.021896, 1.356720, C
0.793129, 253.423263, 41.183479, 2.021896, 1.374889, C
0.793129, 286.688344, 45.208514, 2.021896, 1.275436, C
0.793129, 330.554891, 53.354203, 2.021896, 1.172699, C
0.793129, 374.897190, 62.584359, 2.021896, 1.229779, C
0.793129, 427.681312, 78.871895, 2.021896, 1.203232, C
0.793129, 480.308260, 68.336983, 2.021896, 1.324546, C
0.793129, 514.854361, 83.180767, 2.021896, 1.450954, C
0.793129, 549.381574, 77.148461, 2.021896, 1.411749, C
0.793129, 602.290600, 78.181259, 2.021896, 1.278889, C
0.793129, 659.572129, 91.893122, 2.021896, 1.290436, C
0.793129, 732.405822, 98.514769, 2.021896, 1.229779, C
0.793129, 835.637765, 129.922904, 2.021896, 1.249998, C
0.793129, 950.783181, 161.316727, 2.021896, 1.229779, C
0.793129, 1071.476139, 196.020688, 2.021896, 1.224684, C
0.793129, 1153.540967, 206.124488, 2.021896, 1.390297, C
0.793129, 1259.676107, 210.972977, 2.021896, 1.412982, C
0.793129, 1389.165616, 223.737846, 2.021896, 1.295246, C
0.793129, 1532.373813, 258.333265, 2.021896, 1.345998, C
0.793129, 1742.251074, 315.621698, 2.021896, 1.273794, C
0.793129, 1933.384479, 305.736572, 2.021896, 1.357296, C
0.793129, 2216.908732, 353.590113, 2.021896, 1.194152, C
0.793129, 2522.561879, 428.119723, 2.021896, 1.295246, C
0.793129, 2863.163384, 513.011758, 2.021896, 1.254808, C
0.793129, 3099.547695, 470.852807, 2.021896, 1.380267, C
0.793129, 3389.819305, 479.796787, 2.021896, 1.309421, C
0.793129, 3742.443864, 490.431645, 2.021896, 1.239684, C
0.793129, 4212.339216, 600.590122, 2.021896, 1.234589, C
