amtProduced_need, avg_price, sd, consumption_rate, consumed, char
1.124094, 3.022979, 0.795105, 2.585320, 2.164499, D
1.124094, 2.992663, 0.606748, 2.585320, 2.197522, D
1.124094, 2.833270, 0.518827, 2.585320, 2.430200, D
1.124094, 2.791816, 0.441356, 2.585320, 2.197522, D
1.124094, 2.752093, 0.435479, 2.585320, 2.144772, D
1.124094, 2.709386, 0.396666, 2.585320, 2.192799, D
1.124094, 2.588166, 0.391883, 2.585320, 2.370180, D
1.124094, 2.468146, 0.414208, 2.585320, 2.295732, D
1.124094, 2.470899, 0.422842, 2.585320, 2.225130, D
1.124094, 2.404552, 0.384949, 2.585320, 2.197878, D
1.124094, 2.401123, 0.363526, 2.585320, 2.119962, D
1.124094, 2.392445, 0.418590, 2.585320, 2.171668, D
1.124094, 2.316458, 0.346849, 2.585320, 2.292620, D
1.124094, 2.322757, 0.406722, 2.585320, 2.189207, D
1.124094, 2.348442, 0.398377, 2.585320, 2.194277, D
1.124094, 2.288446, 0.360780, 2.585320, 2.189207, D
1.124094, 2.193132, 0.385200, 2.585320, 2.244025, D
1.124094, 2.149689, 0.434073, 2.585320, 2.292620, D
1.124094, 2.113354, 0.327325, 2.585320, 2.304054, D
1.124094, 1.999726, 0.346559, 2.585320, 2.352641, D
1.124094, 2.000219, 0.301241, 2.585320, 2.166466, D
1.124094, 1.927444, 0.284695, 2.585320, 2.326788, D
1.124094, 1.833596, 0.284319, 2.585320, 2.192572, D
1.124094, 1.885901, 0.312470, 2.585320, 2.030510, D
1.124094, 1.853826, 0.292430, 2.585320, 2.211010, D
1.124094, 1.785154, 0.272480, 2.585320, 2.286813, D
1.124094, 1.751863, 0.250108, 2.585320, 2.332347, D
1.124094, 1.726751, 0.253964, 2.585320, 2.220620, D
1.124094, 1.660722, 0.222096, 2.585320, 2.353065, D
1.124094, 1.586966, 0.218979, 2.585320, 2.393337, D
1.124094, 1.553174, 0.245310, 2.585320, 2.249228, D
1.124094, 1.458894, 0.181700, 2.585320, 2.361676, D
1.124094, 1.373242, 0.175837, 2.585320, 2.327144, D
1.124094, 1.316141, 0.167006, 2.585320, 2.326788, D
1.124094, 1.286599, 0.193735, 2.585320, 2.244535, D
1.124094, 1.220067, 0.158213, 2.585320, 2.352641, D
1.124094, 1.183070, 0.138857, 2.585320, 2.118351, D
1.124094, 1.176974, 0.184492, 2.585320, 2.140612, D
1.124094, 1.182941, 0.175322, 2.585320, 2.085854, D
1.124094, 1.148920, 0.169388, 2.585320, 2.275081, D
