amtProduced_need, avg_price, sd, consumption_rate, consumed, char
1.412168, 2.836639, 0.742402, 2.509260, 2.358705, E
1.412168, 2.640106, 0.558125, 2.509260, 2.402077, E
1.412168, 2.554437, 0.420344, 2.509260, 2.186096, E
1.412168, 2.385274, 0.387153, 2.509260, 2.383797, E
1.412168, 2.240911, 0.376537, 2.509260, 2.324941, E
1.412168, 2.144850, 0.341050, 2.509260, 2.283427, E
1.412168, 2.077893, 0.365733, 2.509260, 2.183720, E
1.412168, 1.901799, 0.332199, 2.509260, 2.308520, E
1.412168, 1.736703, 0.260326, 2.509260, 2.389252, E
1.412168, 1.632305, 0.217195, 2.509260, 2.327292, E
1.412168, 1.514903, 0.192457, 2.509260, 2.384461, E
1.412168, 1.428707, 0.199773, 2.509260, 2.402490, E
1.412168, 1.367393, 0.207645, 2.509260, 2.290424, E
1.412168, 1.293061, 0.178986, 2.509260, 2.383797, E
1.412168, 1.228095, 0.182859, 2.509260, 2.284090, E
1.412168, 1.176594, 0.177024, 2.509260, 2.309038, E
1.412168, 1.086483, 0.161731, 2.509260, 2.358705, E
1.412168, 1.004803, 0.154519, 2.509260, 2.299849, E
1.412168, 0.943419, 0.139150, 2.509260, 2.316730, E
1.412168, 0.890145, 0.138142, 2.509260, 2.258334, E
1.412168, 0.834907, 0.131835, 2.509260, 2.297408, E
1.412168, 0.817980, 0.127615, 2.509260, 2.218631, E
1.412168, 0.799662, 0.135025, 2.509260, 2.191931, E
1.412168, 0.747932, 0.114632, 2.509260, 2.358705, E
1.412168, 0.687294, 0.088412, 2.509260, 2.417101, E
1.412168, 0.657833, 0.093130, 2.509260, 2.237837, E
1.412168, 0.628753, 0.095250, 2.509260, 2.295800, E
1.412168, 0.585186, 0.085935, 2.509260, 2.281819, E
1.412168, 0.541578, 0.081559, 2.509260, 2.340182, E
1.412168, 0.521752, 0.081998, 2.509260, 2.282384, E
1.412168, 0.503414, 0.073276, 2.509260, 2.327213, E
1.412168, 0.464710, 0.063004, 2.509260, 2.308520, E
1.412168, 0.439586, 0.061729, 2.509260, 2.308520, E
1.412168, 0.405672, 0.057313, 2.509260, 2.338207, E
1.412168, 0.370589, 0.055485, 2.509260, 2.363963, E
1.412168, 0.347979, 0.055629, 2.509260, 2.333612, E
1.412168, 0.318618, 0.048453, 2.509260, 2.344094, E
1.412168, 0.297110, 0.043325, 2.509260, 2.319002, E
1.412168, 0.279526, 0.047797, 2.509260, 2.266545, E
1.412168, 0.258490, 0.041432, 2.509260, 2.389916, E
1.412168, 0.243190, 0.033788, 2.509260, 2.449060, E
