amtProduced_need, avg_price, sd, consumption_rate, consumed, char
0.453340, 3.567363, 1.084325, 4.986297, 2.174653, F
0.453340, 4.292417, 1.066928, 4.986297, 2.288344, F
0.453340, 4.974493, 0.962609, 4.986297, 2.318462, F
0.453340, 5.956601, 1.069337, 4.986297, 2.260487, F
0.453340, 7.156101, 1.271238, 4.986297, 2.260487, F
0.453340, 8.336704, 1.256392, 4.986297, 2.260487, F
0.453340, 10.056770, 1.743781, 4.986297, 2.260487, F
0.453340, 11.816499, 2.435284, 4.986297, 2.206290, F
0.453340, 14.038383, 2.119517, 4.986297, 2.314683, F
0.453340, 16.968657, 2.693737, 4.986297, 2.260487, F
0.453340, 19.811276, 2.910460, 4.986297, 2.260487, F
0.453340, 23.486069, 3.841369, 4.986297, 2.260487, F
0.453340, 28.383198, 5.031512, 4.986297, 2.260487, F
0.453340, 33.320056, 6.726010, 4.986297, 2.260487, F
0.453340, 39.480073, 6.299613, 4.986297, 2.260487, F
0.453340, 46.951573, 7.146066, 4.986297, 2.260487, F
0.453340, 56.232043, 8.570146, 4.986297, 2.260487, F
0.453340, 67.614846, 11.166363, 4.986297, 2.260487, F
0.453340, 80.597352, 13.708533, 4.986297, 2.260487, F
0.453340, 96.211470, 15.988925, 4.986297, 2.260487, F
0.453340, 114.588967, 16.711718, 4.986297, 2.260487, F
0.453340, 136.038094, 18.544178, 4.986297, 2.260487, F
0.453340, 159.858463, 22.460408, 4.986297, 2.260487, F
0.453340, 188.239175, 27.664896, 4.986297, 2.260487, F
0.453340, 225.133540, 32.833210, 4.986297, 2.174653, F
0.453340, 261.945384, 37.867900, 4.986297, 2.346320, F
0.453340, 316.653998, 43.807518, 4.986297, 2.260487, F
0.453340, 379.974709, 58.050887, 4.986297, 2.260487, F
0.453340, 443.544883, 70.162911, 4.986297, 2.260487, F
0.453340, 527.034206, 98.980652, 4.986297, 2.260487, F
0.453340, 622.442805, 104.688001, 4.986297, 2.260487, F
0.453340, 742.687033, 103.949917, 4.986297, 2.260487, F
0.453340, 889.900865, 149.927654, 4.986297, 2.260487, F
0.453340, 1037.912805, 182.823162, 4.986297, 2.258028, F
0.453340, 1225.915865, 184.056821, 4.986297, 2.262945, F
0.453340, 1492.115049, 251.478381, 4.986297, 2.251067, F
0.453340, 1746.987031, 288.233263, 4.986297, 2.269906, F
0.453340, 2086.590562, 348.572365, 4.986297, 2.224516, F
0.453340, 2468.098372, 381.157392, 4.986297, 2.296457, F
0.453340, 2994.299450, 516.234838, 4.986297, 2.140928, F
0.453340, 3508.771471, 707.166859, 4.986297, 2.380045, F
0.453340, 4199.322506, 816.766026, 4.986297, 2.260487, F
0.453340, 4926.959757, 665.286133, 4.986297, 2.260487, F
0.453340, 5862.849608, 835.424205, 4.986297, 2.260487, F
0.453340, 6989.337583, 1009.099871, 4.986297, 2.260487, F
0.453340, 8339.782566, 1289.114212, 4.986297, 2.260487, F
0.453340, 10114.734581, 1600.527701, 4.986297, 2.260487, F
0.453340, 11894.627651, 2054.793879, 4.986297, 2.260487, F
0.453340, 14215.695194, 2473.359720, 4.986297, 2.260487, F
0.453340, 16837.490561, 2994.020816, 4.986297, 2.260487, F
0.453340, 19729.982223, 3436.317901, 4.986297, 2.260487, F
0.453340, 23231.847455, 3681.587181, 4.986297, 2.260487, F
0.453340, 27936.001214, 3988.688571, 4.986297, 2.260487, F
0.453340, 33347.504561, 4881.051761, 4.986297, 2.260487, F
0.453340, 39432.320033, 6602.083175, 4.986297, 2.260487, F
0.453340, 47019.578843, 7821.139716, 4.986297, 2.260487, F
0.453340, 56945.116990, 8761.359231, 4.986297, 2.080013, F
0.453340, 66747.592760, 10113.654405, 4.986297, 2.440960, F
0.453340, 79494.301494, 14053.386714, 4.986297, 2.260487, F
0.453340, 94500.644803, 14701.522999, 4.986297, 2.260487, F
0.453340, 110666.591893, 15315.730557, 4.986297, 2.260487, F
0.453340, 130180.764179, 19022.099839, 4.986297, 2.260487, F
0.453340, 155614.577625, 22268.648678, 4.986297, 2.260487, F
0.453340, 187108.069693, 29282.987619, 4.986297, 2.260487, F
0.453340, 223673.945476, 37605.267445, 4.986297, 2.260487, F
0.453340, 264655.996105, 43446.250648, 4.986297, 2.260487, F
0.453340, 319759.086950, 54309.595454, 4.986297, 2.260487, F
0.453340, 384900.956516, 64354.083353, 4.986297, 2.260487, F
0.453340, 448323.593972, 61004.519518, 4.986297, 2.260487, F
0.453340, 539161.254967, 77334.908897, 4.986297, 2.260487, F
0.453340, 638900.563266, 94891.044421, 4.986297, 2.260487, F
0.453340, 753848.054880, 108121.094099, 4.986297, 2.260487, F
0.453340, 893197.678564, 126786.023809, 4.986297, 2.260487, F
0.453340, 1071381.111926, 159400.772830, 4.986297, 2.091065, F
0.453340, 1253908.702156, 190342.305816, 4.986297, 2.429908, F
0.453340, 1512176.259424, 249163.688484, 4.986297, 2.260487, F
0.453340, 1814947.739167, 276789.007198, 4.986297, 2.224516, F
0.453340, 2156039.870515, 326228.032082, 4.986297, 2.296457, F
0.453340, 2558260.425293, 388660.245129, 4.986297, 2.214655, F
0.453340, 3030632.572200, 413664.659404, 4.986297, 2.274379, F
0.453340, 3568484.925931, 530923.641808, 4.986297, 2.292425, F
0.453340, 4253234.126879, 667572.359265, 4.986297, 2.260487, F
0.453340, 5047401.051326, 847371.010536, 4.986297, 2.260487, F
0.453340, 6100855.345535, 1022228.820908, 4.986297, 2.260487, F
0.453340, 7337625.956987, 1196578.666717, 4.986297, 2.260487, F
0.453340, 8859823.341137, 1623807.383558, 4.986297, 2.260487, F
0.453340, 10268044.258039, 1810939.809553, 4.986297, 2.260487, F
0.453340, 12045778.728485, 1656535.423395, 4.986297, 2.260487, F
0.453340, 14410151.033011, 2145563.947285, 4.986297, 2.260487, F
0.453340, 17282275.589198, 2593309.697574, 4.986297, 2.260487, F
0.453340, 20380026.177564, 3247710.041652, 4.986297, 2.260487, F
0.453340, 23788929.090279, 3395982.192593, 4.986297, 2.260487, F
0.453340, 28545817.782946, 4459884.803819, 4.986297, 2.260487, F
0.453340, 34377868.621960, 5604595.508643, 4.986297, 2.260487, F
0.453340, 40187309.312739, 6426427.453385, 4.986297, 2.260487, F
0.453340, 47887506.900404, 7725905.668015, 4.986297, 2.260487, F
0.453340, 56826882.983475, 9184497.220300, 4.986297, 2.260487, F
0.453340, 67074715.754067, 10172280.043811, 4.986297, 2.260487, F
0.453340, 78969054.687395, 12707727.988046, 4.986297, 2.260487, F
0.453340, 94757544.775214, 14145582.852482, 4.986297, 2.260487, F
