amtProduced_need, avg_price, sd, consumption_rate, consumed, char
0.724490, 3.391671, 0.875922, 2.632789, 1.739059, G
0.724490, 3.713319, 0.758290, 2.632789, 1.870698, G
0.724490, 4.141356, 0.627144, 2.632789, 1.721506, G
0.724490, 4.562649, 0.720694, 2.632789, 1.879098, G
0.724490, 5.003226, 0.728305, 2.632789, 1.722759, G
0.724490, 5.573982, 0.877636, 2.632789, 1.629954, G
0.724490, 6.165057, 1.052464, 2.632789, 1.766460, G
0.724490, 6.893266, 1.254803, 2.632789, 1.626095, G
0.724490, 7.265054, 1.302271, 2.632789, 1.980551, G
0.724490, 7.953490, 1.305853, 2.632789, 1.729192, G
0.724490, 8.775926, 1.509048, 2.632789, 1.860831, G
0.724490, 9.568276, 1.522056, 2.632789, 1.797884, G
0.724490, 10.358478, 1.709086, 2.632789, 1.765811, G
0.724490, 11.600387, 1.973882, 2.632789, 1.688730, G
0.724490, 12.377981, 1.790881, 2.632789, 1.868533, G
0.724490, 13.234289, 1.978984, 2.632789, 1.879555, G
0.724490, 14.037215, 2.329672, 2.632789, 1.968357, G
0.724490, 15.157203, 2.251039, 2.632789, 1.832385, G
0.724490, 16.634478, 2.539638, 2.632789, 1.733051, G
0.724490, 18.321698, 2.661754, 2.632789, 1.772029, G
0.724490, 19.046619, 2.464960, 2.632789, 1.897585, G
0.724490, 21.359973, 2.648410, 2.632789, 1.744166, G
0.724490, 23.150253, 3.514725, 2.632789, 1.848911, G
0.724490, 24.884859, 3.758656, 2.632789, 1.866905, G
0.724490, 27.083558, 4.020133, 2.632789, 1.838346, G
0.724490, 29.823327, 3.988662, 2.632789, 1.775872, G
0.724490, 31.847675, 4.255767, 2.632789, 1.907512, G
0.724490, 34.952143, 4.827669, 2.632789, 1.753298, G
0.724490, 39.123447, 6.125311, 2.632789, 1.595436, G
0.724490, 40.697223, 5.369295, 2.632789, 1.923289, G
0.724490, 46.085829, 6.896872, 2.632789, 1.706707, G
0.724490, 48.515806, 6.887070, 2.632789, 1.923564, G
0.724490, 52.645193, 7.499060, 2.632789, 1.879457, G
0.724490, 55.206476, 7.835899, 2.632789, 1.960671, G
0.724490, 60.515893, 9.357773, 2.632789, 1.743616, G
0.724490, 64.726962, 8.842949, 2.632789, 1.886120, G
0.724490, 68.160136, 9.150958, 2.632789, 1.864674, G
0.724490, 76.382343, 11.648923, 2.632789, 1.595396, G
0.724490, 82.335690, 12.382744, 2.632789, 1.815878, G
0.724490, 93.811705, 14.673556, 2.632789, 1.678751, G
0.724490, 102.973348, 17.334982, 2.632789, 1.791925, G
0.724490, 112.165539, 15.575758, 2.632789, 1.864690, G
0.724490, 120.052139, 18.010719, 2.632789, 1.812035, G
0.724490, 124.301220, 18.235679, 2.632789, 2.004664, G
0.724490, 137.033300, 24.922747, 2.632789, 1.763222, G
0.724490, 149.916957, 24.368271, 2.632789, 1.842854, G
0.724490, 163.124223, 24.219013, 2.632789, 1.883414, G
0.724490, 177.053274, 25.494762, 2.632789, 1.824212, G
0.724490, 199.109400, 35.109389, 2.632789, 1.666245, G
0.724490, 213.245566, 33.322206, 2.632789, 1.900330, G
0.724490, 231.388032, 30.376053, 2.632789, 1.780364, G
0.724490, 253.797731, 39.258233, 2.632789, 1.760126, G
0.724490, 281.617766, 48.908526, 2.632789, 1.676520, G
0.724490, 304.744825, 56.125502, 2.632789, 1.838346, G
0.724490, 334.916456, 76.080230, 2.632789, 1.702864, G
0.724490, 371.821478, 65.935169, 2.632789, 1.745244, G
0.724490, 402.863030, 65.796709, 2.632789, 1.721131, G
0.724490, 432.188848, 68.919950, 2.632789, 1.894338, G
0.724490, 482.631648, 72.959254, 2.632789, 1.695260, G
0.724490, 528.914051, 78.240908, 2.632789, 1.739269, G
0.724490, 571.118432, 87.624572, 2.632789, 1.839011, G
0.724490, 618.104611, 90.436364, 2.632789, 1.881184, G
0.724490, 663.278003, 93.846968, 2.632789, 1.865421, G
0.724490, 721.038867, 108.423793, 2.632789, 1.836734, G
0.724490, 797.485932, 114.666087, 2.632789, 1.721588, G
0.724490, 868.834713, 137.834062, 2.632789, 1.761738, G
0.724490, 987.221977, 169.277024, 2.632789, 1.603771, G
0.724490, 1066.696944, 169.133434, 2.632789, 1.838346, G
0.724490, 1174.747583, 194.013447, 2.632789, 1.672791, G
0.724490, 1282.652384, 191.966918, 2.632789, 1.889390, G
0.724490, 1408.202969, 221.988296, 2.632789, 1.889390, G
0.724490, 1568.341074, 289.529850, 2.632789, 1.700748, G
0.724490, 1717.471085, 327.113644, 2.632789, 1.822828, G
0.724490, 1783.085122, 298.263398, 2.632789, 2.017347, G
0.724490, 1966.330346, 302.342103, 2.632789, 1.781848, G
0.724490, 2168.962312, 344.024417, 2.632789, 1.781848, G
0.724490, 2382.330256, 362.048193, 2.632789, 1.680379, G
0.724490, 2668.375632, 412.327814, 2.632789, 1.597552, G
0.724490, 2962.152697, 494.256825, 2.632789, 1.723217, G
0.724490, 3273.829644, 533.429591, 2.632789, 1.735265, G
0.724490, 3487.967286, 552.295031, 2.632789, 1.779731, G
0.724490, 3645.798272, 521.772256, 2.632789, 1.972216, G
0.724490, 4011.932885, 620.102176, 2.632789, 1.781360, G
0.724490, 4296.228603, 607.082803, 2.632789, 1.939799, G
0.724490, 4512.149052, 607.942965, 2.632789, 1.982179, G
0.724490, 4930.822420, 748.039423, 2.632789, 1.854856, G
0.724490, 5289.207266, 766.620020, 2.632789, 1.838346, G
0.724490, 5783.299647, 907.081892, 2.632789, 1.785691, G
0.724490, 6361.500883, 1038.363181, 2.632789, 1.869280, G
0.724490, 6895.800338, 1056.546742, 2.632789, 1.826900, G
0.724490, 7411.285172, 1160.817459, 2.632789, 1.895608, G
0.724490, 8271.800760, 1557.906578, 2.632789, 1.733035, G
0.724490, 8513.448597, 1433.661791, 2.632789, 2.089721, G
0.724490, 9317.780944, 1642.378543, 2.632789, 1.835641, G
0.724490, 10090.334030, 1706.537636, 2.632789, 1.814394, G
0.724490, 11189.614538, 1908.929523, 2.632789, 1.692573, G
0.724490, 12476.666315, 2234.818699, 2.632789, 1.736894, G
0.724490, 13764.491393, 2139.668859, 2.632789, 1.769928, G
0.724490, 14883.762651, 2204.020122, 2.632789, 1.763969, G
0.724490, 15714.530641, 2602.136283, 2.632789, 1.986495, G
