amtProduced_need, avg_price, sd, consumption_rate, consumed, char
0.736620, 3.108303, 0.721021, 4.087576, 2.879003, H
0.736620, 3.244017, 0.577402, 4.087576, 2.999466, H
0.736620, 3.400236, 0.522092, 4.087576, 3.032662, H
0.736620, 3.493945, 0.512676, 4.087576, 3.117419, H
0.736620, 3.776607, 0.561156, 4.087576, 2.807463, H
0.736620, 4.063465, 0.573813, 4.087576, 2.748218, H
0.736620, 4.349681, 0.501259, 4.087576, 2.778436, H
0.736620, 4.604424, 0.644452, 4.087576, 2.711005, H
0.736620, 4.768229, 0.632027, 4.087576, 3.158728, H
0.736620, 5.138231, 0.689473, 4.087576, 2.954683, H
0.736620, 5.538190, 0.768629, 4.087576, 2.857047, H
0.736620, 5.839494, 0.896710, 4.087576, 3.090822, H
0.736620, 6.166807, 0.948870, 4.087576, 3.115121, H
0.736620, 6.780500, 1.073378, 4.087576, 2.713951, H
0.736620, 7.163754, 1.263603, 4.087576, 2.931609, H
0.736620, 7.593606, 1.182611, 4.087576, 2.850174, H
0.736620, 8.140487, 1.199043, 4.087576, 2.861758, H
0.736620, 8.720434, 1.481274, 4.087576, 2.943510, H
0.736620, 9.192837, 1.364870, 4.087576, 2.909718, H
0.736620, 9.786766, 1.264405, 4.087576, 2.766307, H
0.736620, 10.486676, 1.494420, 4.087576, 2.894441, H
0.736620, 10.930476, 1.580561, 4.087576, 2.933411, H
0.736620, 11.664979, 2.063567, 4.087576, 3.027432, H
0.736620, 12.224654, 1.913406, 4.087576, 2.891293, H
0.736620, 13.077052, 2.236448, 4.087576, 3.039561, H
0.736620, 13.705080, 1.984384, 4.087576, 2.952471, H
0.736620, 14.578378, 2.161616, 4.087576, 2.996618, H
0.736620, 15.595598, 2.559181, 4.087576, 2.933549, H
0.736620, 16.850938, 2.650109, 4.087576, 2.701311, H
0.736620, 17.536909, 2.680603, 4.087576, 2.977183, H
0.736620, 18.677037, 2.700880, 4.087576, 3.025559, H
0.736620, 19.962597, 2.832242, 4.087576, 2.999711, H
0.736620, 21.235381, 3.579620, 4.087576, 2.972423, H
0.736620, 22.267964, 3.174945, 4.087576, 2.956846, H
0.736620, 24.307485, 3.957066, 4.087576, 2.811392, H
0.736620, 25.280446, 3.427607, 4.087576, 3.285757, H
0.736620, 27.789831, 4.384198, 4.087576, 2.737081, H
0.736620, 28.863456, 4.729962, 4.087576, 3.145542, H
0.736620, 30.748353, 4.090219, 4.087576, 2.961564, H
0.736620, 32.691669, 4.361059, 4.087576, 2.944243, H
0.736620, 35.634417, 4.579046, 4.087576, 2.789959, H
0.736620, 38.096262, 5.822596, 4.087576, 2.982209, H
