amtProduced_need, avg_price, sd, consumption_rate, consumed, char
0.688203, 3.080811, 0.800688, 4.042147, 2.777608, I
0.688203, 3.400277, 0.607131, 4.042147, 2.571880, I
0.688203, 3.634678, 0.534901, 4.042147, 2.767010, I
0.688203, 3.948361, 0.537911, 4.042147, 2.713728, I
0.688203, 4.321830, 0.645836, 4.042147, 2.695525, I
0.688203, 4.543663, 0.568031, 4.042147, 2.988759, I
0.688203, 4.816348, 0.606679, 4.042147, 2.893851, I
0.688203, 5.141801, 0.660583, 4.042147, 2.807769, I
0.688203, 5.540756, 0.710129, 4.042147, 2.656521, I
0.688203, 5.972180, 0.802195, 4.042147, 2.661851, I
0.688203, 6.465957, 0.930447, 4.042147, 2.730074, I
0.688203, 6.710583, 0.994516, 4.042147, 2.896949, I
0.688203, 6.940810, 0.856555, 4.042147, 3.002118, I
0.688203, 7.581077, 1.116591, 4.042147, 2.781819, I
0.688203, 8.218678, 1.238995, 4.042147, 2.684816, I
0.688203, 8.594556, 1.017080, 4.042147, 2.836757, I
0.688203, 9.246236, 1.111138, 4.042147, 2.670151, I
0.688203, 10.236067, 1.385901, 4.042147, 2.534604, I
0.688203, 10.885574, 1.378490, 4.042147, 2.884497, I
0.688203, 11.733389, 1.588806, 4.042147, 2.764761, I
0.688203, 12.737878, 1.844846, 4.042147, 2.620911, I
0.688203, 13.233747, 1.944323, 4.042147, 3.110910, I
0.688203, 13.815239, 1.664476, 4.042147, 2.928963, I
0.688203, 14.859944, 2.277226, 4.042147, 2.717234, I
0.688203, 16.108006, 2.400544, 4.042147, 2.668711, I
0.688203, 17.596414, 2.495851, 4.042147, 2.531287, I
0.688203, 19.094139, 2.780400, 4.042147, 2.832398, I
0.688203, 20.570084, 3.224540, 4.042147, 2.824533, I
0.688203, 22.646390, 3.484822, 4.042147, 2.468482, I
0.688203, 24.410428, 3.267160, 4.042147, 2.839701, I
0.688203, 25.993175, 3.423493, 4.042147, 2.838498, I
0.688203, 27.788737, 3.816325, 4.042147, 2.798077, I
0.688203, 30.136040, 4.667888, 4.042147, 2.758834, I
0.688203, 31.870138, 5.684701, 4.042147, 2.878166, I
0.688203, 33.984671, 4.918090, 4.042147, 2.683582, I
0.688203, 35.478429, 4.506437, 4.042147, 2.878571, I
0.688203, 37.002692, 4.776203, 4.042147, 2.725237, I
0.688203, 39.681066, 4.956808, 4.042147, 2.711775, I
0.688203, 43.796321, 6.024993, 4.042147, 2.556863, I
0.688203, 46.050931, 6.747093, 4.042147, 2.834376, I
0.688203, 50.598723, 7.312555, 4.042147, 2.546104, I
0.688203, 56.012054, 8.646287, 4.042147, 2.688185, I
0.688203, 59.471491, 8.840217, 4.042147, 2.812392, I
0.688203, 64.112856, 9.220191, 4.042147, 2.684816, I
0.688203, 69.259340, 10.622293, 4.042147, 2.649695, I
0.688203, 74.832287, 9.028885, 4.042147, 2.730436, I
0.688203, 79.738978, 12.153696, 4.042147, 2.773878, I
0.688203, 88.085815, 15.133077, 4.042147, 2.626257, I
0.688203, 93.581914, 13.383703, 4.042147, 2.937301, I
0.688203, 101.443854, 12.543985, 4.042147, 2.684111, I
0.688203, 108.237883, 17.145423, 4.042147, 2.670371, I
0.688203, 118.508804, 18.088226, 4.042147, 2.581998, I
0.688203, 126.390477, 16.434774, 4.042147, 2.915253, I
0.688203, 137.911068, 21.149678, 4.042147, 2.747274, I
0.688203, 152.796064, 22.478392, 4.042147, 2.589909, I
0.688203, 161.013091, 24.893430, 4.042147, 2.905554, I
0.688203, 173.365670, 22.964044, 4.042147, 2.714896, I
0.688203, 181.683862, 22.284082, 4.042147, 2.893378, I
0.688203, 194.844119, 23.064292, 4.042147, 2.590190, I
0.688203, 204.167905, 22.268423, 4.042147, 2.969270, I
