amtProduced_need, avg_price, sd, consumption_rate, consumed, char
0.726488, 3.367675, 0.939807, 2.240037, 1.441714, J
0.726488, 3.636408, 0.812190, 2.240037, 1.501467, J
0.726488, 4.053197, 0.850490, 2.240037, 1.441199, J
0.726488, 4.465983, 0.824195, 2.240037, 1.493209, J
0.726488, 4.779981, 0.754203, 2.240037, 1.490558, J
0.726488, 5.089917, 0.753768, 2.240037, 1.593237, J
0.726488, 5.601806, 1.023354, 2.240037, 1.524103, J
0.726488, 6.417732, 1.178048, 2.240037, 1.411045, J
0.726488, 6.810839, 0.961302, 2.240037, 1.661466, J
0.726488, 7.425622, 1.172927, 2.240037, 1.554437, J
0.726488, 8.193924, 1.322623, 2.240037, 1.467784, J
0.726488, 8.926638, 1.337421, 2.240037, 1.575923, J
0.726488, 9.845868, 1.874888, 2.240037, 1.519476, J
0.726488, 11.026164, 1.966343, 2.240037, 1.333560, J
0.726488, 12.020074, 1.786809, 2.240037, 1.501932, J
0.726488, 12.600613, 1.860754, 2.240037, 1.707680, J
0.726488, 13.723617, 2.064992, 2.240037, 1.497275, J
0.726488, 15.125691, 2.401800, 2.240037, 1.532037, J
0.726488, 16.315808, 2.365317, 2.240037, 1.521059, J
0.726488, 17.509856, 2.524068, 2.240037, 1.602726, J
0.726488, 19.528853, 2.917382, 2.240037, 1.494792, J
0.726488, 21.490666, 3.172825, 2.240037, 1.412101, J
0.726488, 24.362675, 4.186820, 2.240037, 1.396370, J
0.726488, 26.943928, 4.733170, 2.240037, 1.450484, J
0.726488, 28.687537, 4.284406, 2.240037, 1.557925, J
0.726488, 31.607805, 5.171719, 2.240037, 1.520878, J
0.726488, 34.791772, 6.014374, 2.240037, 1.460252, J
0.726488, 39.252438, 6.183675, 2.240037, 1.409057, J
0.726488, 44.142537, 7.855810, 2.240037, 1.487554, J
0.726488, 48.485468, 9.682028, 2.240037, 1.541739, J
0.726488, 56.059574, 12.113323, 2.240037, 1.225764, J
0.726488, 59.648424, 10.800535, 2.240037, 1.609077, J
0.726488, 64.387229, 9.720405, 2.240037, 1.481913, J
0.726488, 70.831434, 11.301392, 2.240037, 1.557048, J
0.726488, 77.393248, 13.000352, 2.240037, 1.452800, J
0.726488, 86.736861, 14.317025, 2.240037, 1.445923, J
0.726488, 93.441488, 16.100097, 2.240037, 1.501143, J
0.726488, 104.083865, 17.489601, 2.240037, 1.381723, J
0.726488, 116.142511, 19.521281, 2.240037, 1.403608, J
