amtProduced_need, avg_price, sd, consumption_rate, avg_def, char
0.387918, 2.986026, 0.741288, 2.978407, 9.590000, A
0.387918, 3.032002, 0.522728, 2.978407, 9.330000, A
0.387918, 3.686684, 0.601603, 2.978407, 9.090000, A
0.387918, 2.962909, 0.343890, 2.978407, 8.950000, A
0.387918, 2.515692, 0.287131, 2.978407, 8.670000, A
0.387918, 2.535933, 0.336548, 2.978407, 8.290000, A
0.387918, 3.684730, 0.526713, 2.978407, 7.900000, A
0.387918, 4.291778, 0.521791, 2.978407, 7.530000, A
0.387918, 3.150794, 0.339941, 2.978407, 7.270000, A
0.387918, 2.368399, 0.273675, 2.978407, 7.370000, A
0.387918, 1.820072, 0.254171, 2.978407, 7.670000, A
0.387918, 1.422575, 0.227018, 2.978407, 7.710000, A
0.387918, 1.172783, 0.188991, 2.978407, 7.450000, A
0.387918, 1.098534, 0.165155, 2.978407, 7.310000, A
0.387918, 1.598578, 0.245646, 2.978407, 6.920000, A
0.387918, 1.471123, 0.181569, 2.978407, 6.720000, A
0.387918, 1.085391, 0.136338, 2.978407, 6.830000, A
0.387918, 0.807593, 0.109548, 2.978407, 6.880000, A
0.387918, 0.605146, 0.094853, 2.978407, 7.190000, A
0.387918, 0.460460, 0.079068, 2.978407, 7.230000, A
0.387918, 0.364928, 0.066138, 2.978407, 7.280000, A
0.387918, 0.295571, 0.057369, 2.978407, 7.230000, A
0.387918, 0.270345, 0.045482, 2.978407, 7.160000, A
0.387918, 0.307918, 0.045747, 2.978407, 7.170000, A
0.387918, 0.227566, 0.029802, 2.978407, 7.250000, A
0.387918, 0.171725, 0.024673, 2.978407, 7.450000, A
0.387918, 0.131154, 0.021247, 2.978407, 7.490000, A
0.387918, 0.104457, 0.019154, 2.978407, 7.190000, A
0.387918, 0.089267, 0.014498, 2.978407, 6.960000, A
0.387918, 0.104595, 0.016573, 2.978407, 6.910000, A
0.387918, 0.156025, 0.026399, 2.978407, 6.560000, A
0.387918, 0.127769, 0.017912, 2.978407, 6.340000, A
0.387918, 0.104255, 0.012248, 2.978407, 6.300000, A
0.387918, 0.088724, 0.009579, 2.978407, 6.470000, A
0.387918, 0.071182, 0.007293, 2.978407, 6.400000, A
0.387918, 0.057392, 0.006805, 2.978407, 6.250000, A
0.387918, 0.049020, 0.006209, 2.978407, 6.180000, A
0.387918, 0.040327, 0.005502, 2.978407, 6.850000, A
0.387918, 0.029374, 0.004301, 2.978407, 7.240000, A
0.387918, 0.021161, 0.003243, 2.978407, 7.250000, A
0.387918, 0.015236, 0.002456, 2.978407, 7.120000, A
0.387918, 0.011289, 0.002082, 2.978407, 7.020000, A
0.387918, 0.008457, 0.001710, 2.978407, 7.030000, A
