amtProduced_need, avg_price, sd, consumption_rate, avg_def, char
1.044679, 2.708589, 0.721227, 1.912332, 9.590000, B
1.044679, 2.846524, 0.553075, 1.912332, 9.330000, B
1.044679, 3.359809, 0.507399, 1.912332, 9.090000, B
1.044679, 3.169795, 0.376419, 1.912332, 8.950000, B
1.044679, 3.041344, 0.379496, 1.912332, 8.670000, B
1.044679, 3.481025, 0.453635, 1.912332, 8.290000, B
1.044679, 4.247251, 0.552777, 1.912332, 7.900000, B
1.044679, 3.442615, 0.318990, 1.912332, 7.530000, B
1.044679, 2.771511, 0.291799, 1.912332, 7.270000, B
1.044679, 2.299555, 0.274848, 1.912332, 7.370000, B
1.044679, 2.042776, 0.276005, 1.912332, 7.670000, B
1.044679, 2.087599, 0.261779, 1.912332, 7.710000, B
1.044679, 1.552800, 0.167286, 1.912332, 7.450000, B
1.044679, 1.154250, 0.148597, 1.912332, 7.310000, B
1.044679, 0.866677, 0.136462, 1.912332, 6.920000, B
1.044679, 0.658722, 0.122476, 1.912332, 6.720000, B
1.044679, 0.504108, 0.103802, 1.912332, 6.830000, B
1.044679, 0.396036, 0.087960, 1.912332, 6.880000, B
1.044679, 0.321208, 0.071190, 1.912332, 7.190000, B
1.044679, 0.289967, 0.058617, 1.912332, 7.230000, B
1.044679, 0.379729, 0.067724, 1.912332, 7.280000, B
1.044679, 0.483121, 0.083896, 1.912332, 7.230000, B
1.044679, 0.356258, 0.048290, 1.912332, 7.160000, B
1.044679, 0.257858, 0.035019, 1.912332, 7.170000, B
1.044679, 0.185548, 0.027812, 1.912332, 7.250000, B
1.044679, 0.137292, 0.024144, 1.912332, 7.450000, B
1.044679, 0.100745, 0.020734, 1.912332, 7.490000, B
1.044679, 0.076064, 0.017397, 1.912332, 7.190000, B
1.044679, 0.057664, 0.014934, 1.912332, 6.960000, B
1.044679, 0.043196, 0.012203, 1.912332, 6.910000, B
1.044679, 0.033281, 0.009695, 1.912332, 6.560000, B
1.044679, 0.026287, 0.007486, 1.912332, 6.340000, B
1.044679, 0.021362, 0.005758, 1.912332, 6.300000, B
1.044679, 0.018375, 0.004511, 1.912332, 6.470000, B
1.044679, 0.016673, 0.003626, 1.912332, 6.400000, B
1.044679, 0.017139, 0.003028, 1.912332, 6.250000, B
1.044679, 0.021003, 0.003973, 1.912332, 6.180000, B
1.044679, 0.025804, 0.004421, 1.912332, 6.850000, B
1.044679, 0.034111, 0.004973, 1.912332, 7.240000, B
1.044679, 0.024821, 0.003123, 1.912332, 7.250000, B
1.044679, 0.018038, 0.002521, 1.912332, 7.120000, B
1.044679, 0.013096, 0.002129, 1.912332, 7.020000, B
1.044679, 0.009513, 0.001832, 1.912332, 7.030000, B
1.044679, 0.006966, 0.001564, 1.912332, 6.860000, B
1.044679, 0.005109, 0.001323, 1.912332, 6.900000, B
1.044679, 0.003844, 0.001097, 1.912332, 6.810000, B
1.044679, 0.002906, 0.000861, 1.912332, 6.870000, B
