amtProduced_need, avg_price, sd, consumption_rate, avg_def, char
1.464701, 3.212118, 0.733386, 2.021896, 9.590000, C
1.464701, 2.901044, 0.455614, 2.021896, 9.330000, C
1.464701, 3.029882, 0.369452, 2.021896, 9.090000, C
1.464701, 3.553450, 0.464638, 2.021896, 8.950000, C
1.464701, 3.052042, 0.367586, 2.021896, 8.670000, C
1.464701, 2.759773, 0.386526, 2.021896, 8.290000, C
1.464701, 2.730046, 0.355253, 2.021896, 7.900000, C
1.464701, 3.907080, 0.557171, 2.021896, 7.530000, C
1.464701, 3.309620, 0.361555, 2.021896, 7.270000, C
1.464701, 2.844961, 0.290733, 2.021896, 7.370000, C
1.464701, 2.395590, 0.231112, 2.021896, 7.670000, C
1.464701, 1.951871, 0.192719, 2.021896, 7.710000, C
1.464701, 1.545630, 0.161711, 2.021896, 7.450000, C
1.464701, 1.242702, 0.152876, 2.021896, 7.310000, C
1.464701, 1.013146, 0.141857, 2.021896, 6.920000, C
1.464701, 0.880197, 0.143323, 2.021896, 6.720000, C
1.464701, 0.824722, 0.129353, 2.021896, 6.830000, C
1.464701, 0.917704, 0.135450, 2.021896, 6.880000, C
1.464701, 0.737789, 0.087701, 2.021896, 7.190000, C
1.464701, 0.553291, 0.062228, 2.021896, 7.230000, C
1.464701, 0.425323, 0.052068, 2.021896, 7.280000, C
1.464701, 0.326924, 0.049798, 2.021896, 7.230000, C
1.464701, 0.256738, 0.043183, 2.021896, 7.160000, C
1.464701, 0.207271, 0.037725, 2.021896, 7.170000, C
1.464701, 0.178440, 0.030368, 2.021896, 7.250000, C
1.464701, 0.172917, 0.028029, 2.021896, 7.450000, C
1.464701, 0.169388, 0.023320, 2.021896, 7.490000, C
1.464701, 0.156327, 0.018670, 2.021896, 7.190000, C
1.464701, 0.156071, 0.018610, 2.021896, 6.960000, C
1.464701, 0.136884, 0.016639, 2.021896, 6.910000, C
1.464701, 0.115266, 0.012604, 2.021896, 6.560000, C
1.464701, 0.099481, 0.010867, 2.021896, 6.340000, C
1.464701, 0.104959, 0.014357, 2.021896, 6.300000, C
1.464701, 0.090104, 0.010184, 2.021896, 6.470000, C
