amtProduced_need, avg_price, sd, consumption_rate, avg_def, char
1.168551, 3.271696, 0.772568, 2.585320, 9.590000, D
1.168551, 3.098034, 0.490769, 2.585320, 9.330000, D
1.168551, 3.128106, 0.372869, 2.585320, 9.090000, D
1.168551, 4.037851, 0.508328, 2.585320, 8.950000, D
1.168551, 2.930879, 0.317643, 2.585320, 8.670000, D
1.168551, 2.170545, 0.238923, 2.585320, 8.290000, D
1.168551, 1.641482, 0.231616, 2.585320, 7.900000, D
1.168551, 1.261121, 0.204792, 2.585320, 7.530000, D
1.168551, 1.003896, 0.180725, 2.585320, 7.270000, D
1.168551, 0.875756, 0.147238, 2.585320, 7.370000, D
1.168551, 1.048599, 0.163890, 2.585320, 7.670000, D
1.168551, 1.562861, 0.252875, 2.585320, 7.710000, D
1.168551, 2.190049, 0.349126, 2.585320, 7.450000, D
1.168551, 1.516611, 0.214522, 2.585320, 7.310000, D
1.168551, 1.071972, 0.151258, 2.585320, 6.920000, D
1.168551, 0.762603, 0.127460, 2.585320, 6.720000, D
1.168551, 0.547907, 0.109026, 2.585320, 6.830000, D
1.168551, 0.406136, 0.089337, 2.585320, 6.880000, D
1.168551, 0.302175, 0.076295, 2.585320, 7.190000, D
1.168551, 0.231385, 0.060925, 2.585320, 7.230000, D
1.168551, 0.181730, 0.048968, 2.585320, 7.280000, D
1.168551, 0.158189, 0.036911, 2.585320, 7.230000, D
1.168551, 0.170102, 0.033758, 2.585320, 7.160000, D
1.168551, 0.251706, 0.050418, 2.585320, 7.170000, D
1.168551, 0.299264, 0.046450, 2.585320, 7.250000, D
1.168551, 0.205235, 0.030762, 2.585320, 7.450000, D
1.168551, 0.141475, 0.022448, 2.585320, 7.490000, D
1.168551, 0.097875, 0.017590, 2.585320, 7.190000, D
1.168551, 0.068830, 0.013931, 2.585320, 6.960000, D
1.168551, 0.048199, 0.010406, 2.585320, 6.910000, D
1.168551, 0.034594, 0.008187, 2.585320, 6.560000, D
1.168551, 0.025152, 0.006596, 2.585320, 6.340000, D
1.168551, 0.018757, 0.005375, 2.585320, 6.300000, D
1.168551, 0.014276, 0.004225, 2.585320, 6.470000, D
1.168551, 0.011179, 0.003189, 2.585320, 6.400000, D
1.168551, 0.008947, 0.002521, 2.585320, 6.250000, D
1.168551, 0.007581, 0.001937, 2.585320, 6.180000, D
1.168551, 0.007133, 0.001396, 2.585320, 6.850000, D
1.168551, 0.008938, 0.001676, 2.585320, 7.240000, D
1.168551, 0.013323, 0.002583, 2.585320, 7.250000, D
1.168551, 0.019882, 0.004109, 2.585320, 7.120000, D
1.168551, 0.016664, 0.002193, 2.585320, 7.020000, D
1.168551, 0.013342, 0.001587, 2.585320, 7.030000, D
1.168551, 0.011239, 0.001243, 2.585320, 6.860000, D
1.168551, 0.009377, 0.001110, 2.585320, 6.900000, D
1.168551, 0.007673, 0.000988, 2.585320, 6.810000, D
1.168551, 0.005883, 0.000792, 2.585320, 6.870000, D
1.168551, 0.004524, 0.000697, 2.585320, 6.860000, D
1.168551, 0.003458, 0.000599, 2.585320, 6.820000, D
1.168551, 0.002702, 0.000525, 2.585320, 6.700000, D
1.168551, 0.002180, 0.000433, 2.585320, 6.690000, D
1.168551, 0.001779, 0.000364, 2.585320, 6.930000, D
1.168551, 0.001510, 0.000259, 2.585320, 7.050000, D
1.168551, 0.001252, 0.000177, 2.585320, 7.230000, D
1.168551, 0.000984, 0.000137, 2.585320, 7.250000, D
1.168551, 0.000748, 0.000117, 2.585320, 7.440000, D
1.168551, 0.000572, 0.000095, 2.585320, 7.320000, D
1.168551, 0.000449, 0.000082, 2.585320, 7.510000, D
1.168551, 0.000360, 0.000069, 2.585320, 7.390000, D
1.168551, 0.000306, 0.000052, 2.585320, 7.430000, D
1.168551, 0.000290, 0.000044, 2.585320, 7.480000, D
1.168551, 0.000247, 0.000029, 2.585320, 7.470000, D
1.168551, 0.000201, 0.000023, 2.585320, 7.540000, D
1.168551, 0.000162, 0.000022, 2.585320, 7.510000, D
1.168551, 0.000130, 0.000018, 2.585320, 7.440000, D
1.168551, 0.000108, 0.000016, 2.585320, 7.460000, D
1.168551, 0.000091, 0.000013, 2.585320, 7.760000, D
1.168551, 0.000089, 0.000011, 2.585320, 7.630000, D
1.168551, 0.000076, 0.000011, 2.585320, 7.480000, D
1.168551, 0.000064, 0.000008, 2.585320, 7.230000, D
1.168551, 0.000056, 0.000007, 2.585320, 7.390000, D
1.168551, 0.000060, 0.000007, 2.585320, 7.460000, D
1.168551, 0.000044, 0.000005, 2.585320, 7.410000, D
1.168551, 0.000032, 0.000004, 2.585320, 7.540000, D
1.168551, 0.000023, 0.000004, 2.585320, 7.310000, D
1.168551, 0.000017, 0.000003, 2.585320, 7.070000, D
1.168551, 0.000013, 0.000003, 2.585320, 7.070000, D
1.168551, 0.000010, 0.000002, 2.585320, 7.010000, D
1.168551, 0.000008, 0.000002, 2.585320, 7.350000, D
1.168551, 0.000006, 0.000001, 2.585320, 7.150000, D
1.168551, 0.000006, 0.000001, 2.585320, 6.980000, D
1.168551, 0.000005, 0.000001, 2.585320, 6.840000, D
1.168551, 0.000007, 0.000001, 2.585320, 6.930000, D
1.168551, 0.000010, 0.000002, 2.585320, 6.660000, D
1.168551, 0.000011, 0.000001, 2.585320, 6.340000, D
1.168551, 0.000009, 0.000001, 2.585320, 6.080000, D
1.168551, 0.000007, 0.000001, 2.585320, 6.320000, D
1.168551, 0.000005, 0.000001, 2.585320, 6.670000, D
1.168551, 0.000004, 0.000001, 2.585320, 6.910000, D
1.168551, 0.000003, 0.000001, 2.585320, 6.810000, D
1.168551, 0.000002, 0.000000, 2.585320, 6.710000, D
1.168551, 0.000002, 0.000000, 2.585320, 6.790000, D
1.168551, 0.000001, 0.000000, 2.585320, 6.640000, D
1.168551, 0.000001, 0.000000, 2.585320, 6.390000, D
1.168551, 0.000001, 0.000000, 2.585320, 6.190000, D
1.168551, 0.000001, 0.000000, 2.585320, 6.390000, D
1.168551, 0.000001, 0.000000, 2.585320, 6.780000, D
1.168551, 0.000001, 0.000000, 2.585320, 6.860000, D
