amtProduced_need, avg_price, sd, consumption_rate, avg_def, char
1.127113, 2.980803, 0.830279, 2.509260, 9.590000, E
1.127113, 3.162014, 0.656887, 2.509260, 9.330000, E
1.127113, 3.270715, 0.425590, 2.509260, 9.090000, E
1.127113, 3.330238, 0.475853, 2.509260, 8.950000, E
1.127113, 3.090926, 0.348117, 2.509260, 8.670000, E
1.127113, 3.475328, 0.441888, 2.509260, 8.290000, E
1.127113, 4.163258, 0.555016, 2.509260, 7.900000, E
1.127113, 3.388889, 0.316302, 2.509260, 7.530000, E
1.127113, 2.935699, 0.280647, 2.509260, 7.270000, E
1.127113, 2.947737, 0.344759, 2.509260, 7.370000, E
1.127113, 2.563658, 0.287206, 2.509260, 7.670000, E
1.127113, 1.934142, 0.205390, 2.509260, 7.710000, E
1.127113, 1.464189, 0.189382, 2.509260, 7.450000, E
1.127113, 1.088897, 0.178950, 2.509260, 7.310000, E
1.127113, 0.845339, 0.161150, 2.509260, 6.920000, E
1.127113, 0.680928, 0.143983, 2.509260, 6.720000, E
1.127113, 0.588781, 0.110308, 2.509260, 6.830000, E
1.127113, 0.570725, 0.093859, 2.509260, 6.880000, E
1.127113, 0.681961, 0.111154, 2.509260, 7.190000, E
1.127113, 0.598178, 0.071562, 2.509260, 7.230000, E
1.127113, 0.479547, 0.050529, 2.509260, 7.280000, E
1.127113, 0.387782, 0.043614, 2.509260, 7.230000, E
1.127113, 0.308955, 0.041145, 2.509260, 7.160000, E
1.127113, 0.244315, 0.035241, 2.509260, 7.170000, E
1.127113, 0.203275, 0.032860, 2.509260, 7.250000, E
1.127113, 0.206021, 0.033981, 2.509260, 7.450000, E
1.127113, 0.161563, 0.025429, 2.509260, 7.490000, E
1.127113, 0.130426, 0.021780, 2.509260, 7.190000, E
1.127113, 0.107440, 0.017360, 2.509260, 6.960000, E
1.127113, 0.094565, 0.013391, 2.509260, 6.910000, E
1.127113, 0.103838, 0.014503, 2.509260, 6.560000, E
1.127113, 0.146448, 0.022255, 2.509260, 6.340000, E
1.127113, 0.111774, 0.015084, 2.509260, 6.300000, E
1.127113, 0.085019, 0.010577, 2.509260, 6.470000, E
1.127113, 0.062877, 0.007744, 2.509260, 6.400000, E
1.127113, 0.046940, 0.007165, 2.509260, 6.250000, E
1.127113, 0.036139, 0.006426, 2.509260, 6.180000, E
1.127113, 0.028708, 0.005362, 2.509260, 6.850000, E
1.127113, 0.023646, 0.004309, 2.509260, 7.240000, E
1.127113, 0.021275, 0.004016, 2.509260, 7.250000, E
1.127113, 0.018749, 0.002757, 2.509260, 7.120000, E
1.127113, 0.016735, 0.002171, 2.509260, 7.020000, E
1.127113, 0.013561, 0.001625, 2.509260, 7.030000, E
1.127113, 0.010959, 0.001413, 2.509260, 6.860000, E
1.127113, 0.008947, 0.001159, 2.509260, 6.900000, E
1.127113, 0.007301, 0.000987, 2.509260, 6.810000, E
1.127113, 0.005927, 0.000869, 2.509260, 6.870000, E
1.127113, 0.004768, 0.000673, 2.509260, 6.860000, E
1.127113, 0.003699, 0.000535, 2.509260, 6.820000, E
1.127113, 0.002965, 0.000439, 2.509260, 6.700000, E
1.127113, 0.002397, 0.000339, 2.509260, 6.690000, E
1.127113, 0.001953, 0.000290, 2.509260, 6.930000, E
1.127113, 0.001549, 0.000237, 2.509260, 7.050000, E
1.127113, 0.001193, 0.000184, 2.509260, 7.230000, E
1.127113, 0.000920, 0.000152, 2.509260, 7.250000, E
1.127113, 0.000716, 0.000127, 2.509260, 7.440000, E
1.127113, 0.000576, 0.000111, 2.509260, 7.320000, E
1.127113, 0.000468, 0.000089, 2.509260, 7.510000, E
