amtProduced_need, avg_price, sd, consumption_rate, avg_def, char
0.671035, 3.120480, 0.606918, 4.986297, 9.590000, F
0.671035, 4.086760, 0.717462, 4.986297, 9.330000, F
0.671035, 3.055626, 0.432843, 4.986297, 9.090000, F
0.671035, 2.364543, 0.300454, 4.986297, 8.950000, F
0.671035, 2.056471, 0.239083, 4.986297, 8.670000, F
0.671035, 2.815972, 0.323937, 4.986297, 8.290000, F
0.671035, 4.198215, 0.536341, 4.986297, 7.900000, F
0.671035, 3.507078, 0.342682, 4.986297, 7.530000, F
0.671035, 4.112899, 0.443167, 4.986297, 7.270000, F
0.671035, 3.119160, 0.326212, 4.986297, 7.370000, F
0.671035, 2.338847, 0.246733, 4.986297, 7.670000, F
0.671035, 1.759319, 0.229333, 4.986297, 7.710000, F
0.671035, 1.382871, 0.202579, 4.986297, 7.450000, F
0.671035, 1.256894, 0.179083, 4.986297, 7.310000, F
0.671035, 1.770673, 0.268343, 4.986297, 6.920000, F
0.671035, 1.372036, 0.175750, 4.986297, 6.720000, F
0.671035, 1.084000, 0.137072, 4.986297, 6.830000, F
0.671035, 0.898648, 0.102278, 4.986297, 6.880000, F
0.671035, 0.717621, 0.083368, 4.986297, 7.190000, F
0.671035, 0.627055, 0.075804, 4.986297, 7.230000, F
0.671035, 0.483214, 0.059846, 4.986297, 7.280000, F
0.671035, 0.390382, 0.051650, 4.986297, 7.230000, F
0.671035, 0.363846, 0.042149, 4.986297, 7.160000, F
0.671035, 0.281498, 0.031464, 4.986297, 7.170000, F
0.671035, 0.223007, 0.028655, 4.986297, 7.250000, F
0.671035, 0.194009, 0.026040, 4.986297, 7.450000, F
0.671035, 0.174437, 0.019326, 4.986297, 7.490000, F
0.671035, 0.217505, 0.027124, 4.986297, 7.190000, F
0.671035, 0.149218, 0.021959, 4.986297, 6.960000, F
0.671035, 0.103423, 0.016562, 4.986297, 6.910000, F
0.671035, 0.074761, 0.013783, 4.986297, 6.560000, F
0.671035, 0.055507, 0.011828, 4.986297, 6.340000, F
0.671035, 0.046392, 0.009284, 4.986297, 6.300000, F
0.671035, 0.061482, 0.011069, 4.986297, 6.470000, F
0.671035, 0.091678, 0.017122, 4.986297, 6.400000, F
0.671035, 0.064564, 0.012110, 4.986297, 6.250000, F
0.671035, 0.046518, 0.008953, 4.986297, 6.180000, F
0.671035, 0.033876, 0.006623, 4.986297, 6.850000, F
0.671035, 0.026163, 0.005145, 4.986297, 7.240000, F
0.671035, 0.022559, 0.003751, 4.986297, 7.250000, F
0.671035, 0.020743, 0.002570, 4.986297, 7.120000, F
0.671035, 0.016565, 0.001973, 4.986297, 7.020000, F
0.671035, 0.013520, 0.001622, 4.986297, 7.030000, F
0.671035, 0.011688, 0.001466, 4.986297, 6.860000, F
0.671035, 0.009709, 0.001336, 4.986297, 6.900000, F
0.671035, 0.007636, 0.000983, 4.986297, 6.810000, F
0.671035, 0.006049, 0.000762, 4.986297, 6.870000, F
0.671035, 0.004922, 0.000624, 4.986297, 6.860000, F
0.671035, 0.003911, 0.000505, 4.986297, 6.820000, F
0.671035, 0.003088, 0.000383, 4.986297, 6.700000, F
0.671035, 0.002583, 0.000341, 4.986297, 6.690000, F
0.671035, 0.002092, 0.000283, 4.986297, 6.930000, F
0.671035, 0.001682, 0.000232, 4.986297, 7.050000, F
0.671035, 0.001257, 0.000180, 4.986297, 7.230000, F
0.671035, 0.000938, 0.000155, 4.986297, 7.250000, F
0.671035, 0.000713, 0.000137, 4.986297, 7.440000, F
0.671035, 0.000574, 0.000118, 4.986297, 7.320000, F
0.671035, 0.000522, 0.000098, 4.986297, 7.510000, F
0.671035, 0.000489, 0.000061, 4.986297, 7.390000, F
0.671035, 0.000360, 0.000047, 4.986297, 7.430000, F
0.671035, 0.000270, 0.000041, 4.986297, 7.480000, F
0.671035, 0.000211, 0.000032, 4.986297, 7.470000, F
0.671035, 0.000198, 0.000028, 4.986297, 7.540000, F
0.671035, 0.000188, 0.000022, 4.986297, 7.510000, F
0.671035, 0.000139, 0.000017, 4.986297, 7.440000, F
0.671035, 0.000103, 0.000015, 4.986297, 7.460000, F
0.671035, 0.000080, 0.000013, 4.986297, 7.760000, F
0.671035, 0.000075, 0.000011, 4.986297, 7.630000, F
0.671035, 0.000103, 0.000015, 4.986297, 7.480000, F
0.671035, 0.000071, 0.000010, 4.986297, 7.230000, F
0.671035, 0.000050, 0.000008, 4.986297, 7.390000, F
0.671035, 0.000036, 0.000007, 4.986297, 7.460000, F
0.671035, 0.000027, 0.000006, 4.986297, 7.410000, F
0.671035, 0.000022, 0.000004, 4.986297, 7.540000, F
0.671035, 0.000024, 0.000004, 4.986297, 7.310000, F
0.671035, 0.000033, 0.000006, 4.986297, 7.070000, F
0.671035, 0.000025, 0.000004, 4.986297, 7.070000, F
0.671035, 0.000019, 0.000003, 4.986297, 7.010000, F
0.671035, 0.000015, 0.000002, 4.986297, 7.350000, F
0.671035, 0.000019, 0.000003, 4.986297, 7.150000, F
0.671035, 0.000017, 0.000003, 4.986297, 6.980000, F
0.671035, 0.000015, 0.000002, 4.986297, 6.840000, F
0.671035, 0.000014, 0.000002, 4.986297, 6.930000, F
0.671035, 0.000010, 0.000001, 4.986297, 6.660000, F
0.671035, 0.000007, 0.000001, 4.986297, 6.340000, F
0.671035, 0.000005, 0.000001, 4.986297, 6.080000, F
0.671035, 0.000004, 0.000001, 4.986297, 6.320000, F
0.671035, 0.000003, 0.000001, 4.986297, 6.670000, F
0.671035, 0.000005, 0.000001, 4.986297, 6.910000, F
0.671035, 0.000003, 0.000001, 4.986297, 6.810000, F
0.671035, 0.000002, 0.000000, 4.986297, 6.710000, F
0.671035, 0.000002, 0.000000, 4.986297, 6.790000, F
0.671035, 0.000002, 0.000000, 4.986297, 6.640000, F
0.671035, 0.000003, 0.000000, 4.986297, 6.390000, F
0.671035, 0.000002, 0.000000, 4.986297, 6.190000, F
0.671035, 0.000001, 0.000000, 4.986297, 6.390000, F
0.671035, 0.000001, 0.000000, 4.986297, 6.780000, F
