amtProduced_need, avg_price, sd, consumption_rate, avg_def, char
0.772478, 3.127664, 0.817016, 2.632789, 9.590000, G
0.772478, 2.857886, 0.512214, 2.632789, 9.330000, G
0.772478, 2.994631, 0.443609, 2.632789, 9.090000, G
0.772478, 3.446471, 0.447774, 2.632789, 8.950000, G
0.772478, 3.552550, 0.440084, 2.632789, 8.670000, G
0.772478, 3.511089, 0.365981, 2.632789, 8.290000, G
0.772478, 4.062709, 0.483898, 2.632789, 7.900000, G
0.772478, 3.896102, 0.444941, 2.632789, 7.530000, G
0.772478, 3.281989, 0.312156, 2.632789, 7.270000, G
0.772478, 3.059840, 0.357915, 2.632789, 7.370000, G
0.772478, 2.499711, 0.259466, 2.632789, 7.670000, G
0.772478, 1.956000, 0.206528, 2.632789, 7.710000, G
0.772478, 1.544479, 0.180669, 2.632789, 7.450000, G
0.772478, 1.285154, 0.160874, 2.632789, 7.310000, G
0.772478, 1.073860, 0.130247, 2.632789, 6.920000, G
0.772478, 1.043192, 0.134457, 2.632789, 6.720000, G
0.772478, 1.240521, 0.191034, 2.632789, 6.830000, G
0.772478, 0.905718, 0.126409, 2.632789, 6.880000, G
0.772478, 0.646579, 0.090460, 2.632789, 7.190000, G
0.772478, 0.469857, 0.071446, 2.632789, 7.230000, G
0.772478, 0.346358, 0.061196, 2.632789, 7.280000, G
0.772478, 0.259125, 0.053883, 2.632789, 7.230000, G
0.772478, 0.200058, 0.044545, 2.632789, 7.160000, G
0.772478, 0.154839, 0.036637, 2.632789, 7.170000, G
0.772478, 0.122753, 0.030714, 2.632789, 7.250000, G
0.772478, 0.099756, 0.024159, 2.632789, 7.450000, G
0.772478, 0.089317, 0.017961, 2.632789, 7.490000, G
0.772478, 0.091530, 0.015958, 2.632789, 7.190000, G
0.772478, 0.117032, 0.016402, 2.632789, 6.960000, G
0.772478, 0.174430, 0.025802, 2.632789, 6.910000, G
0.772478, 0.122508, 0.016763, 2.632789, 6.560000, G
0.772478, 0.086233, 0.012044, 2.632789, 6.340000, G
0.772478, 0.061325, 0.009990, 2.632789, 6.300000, G
0.772478, 0.044673, 0.008350, 2.632789, 6.470000, G
0.772478, 0.033223, 0.007192, 2.632789, 6.400000, G
0.772478, 0.025057, 0.006154, 2.632789, 6.250000, G
0.772478, 0.019652, 0.004776, 2.632789, 6.180000, G
0.772478, 0.016866, 0.003802, 2.632789, 6.850000, G
0.772478, 0.016778, 0.002886, 2.632789, 7.240000, G
0.772478, 0.022787, 0.003932, 2.632789, 7.250000, G
0.772478, 0.019305, 0.002470, 2.632789, 7.120000, G
0.772478, 0.016536, 0.002161, 2.632789, 7.020000, G
0.772478, 0.013611, 0.001859, 2.632789, 7.030000, G
0.772478, 0.011433, 0.001513, 2.632789, 6.860000, G
0.772478, 0.009783, 0.001331, 2.632789, 6.900000, G
0.772478, 0.007909, 0.001027, 2.632789, 6.810000, G
0.772478, 0.006077, 0.000786, 2.632789, 6.870000, G
0.772478, 0.004603, 0.000601, 2.632789, 6.860000, G
0.772478, 0.003466, 0.000537, 2.632789, 6.820000, G
0.772478, 0.002713, 0.000499, 2.632789, 6.700000, G
0.772478, 0.002098, 0.000395, 2.632789, 6.690000, G
0.772478, 0.001682, 0.000349, 2.632789, 6.930000, G
0.772478, 0.001370, 0.000280, 2.632789, 7.050000, G
0.772478, 0.001212, 0.000219, 2.632789, 7.230000, G
0.772478, 0.000973, 0.000151, 2.632789, 7.250000, G
0.772478, 0.000744, 0.000109, 2.632789, 7.440000, G
0.772478, 0.000579, 0.000095, 2.632789, 7.320000, G
0.772478, 0.000448, 0.000081, 2.632789, 7.510000, G
0.772478, 0.000365, 0.000066, 2.632789, 7.390000, G
0.772478, 0.000317, 0.000051, 2.632789, 7.430000, G
0.772478, 0.000317, 0.000051, 2.632789, 7.480000, G
0.772478, 0.000253, 0.000034, 2.632789, 7.470000, G
0.772478, 0.000195, 0.000027, 2.632789, 7.540000, G
0.772478, 0.000151, 0.000022, 2.632789, 7.510000, G
0.772478, 0.000119, 0.000018, 2.632789, 7.440000, G
0.772478, 0.000098, 0.000016, 2.632789, 7.460000, G
0.772478, 0.000083, 0.000014, 2.632789, 7.760000, G
0.772478, 0.000077, 0.000013, 2.632789, 7.630000, G
0.772478, 0.000074, 0.000010, 2.632789, 7.480000, G
0.772478, 0.000074, 0.000009, 2.632789, 7.230000, G
0.772478, 0.000063, 0.000006, 2.632789, 7.390000, G
0.772478, 0.000049, 0.000005, 2.632789, 7.460000, G
0.772478, 0.000038, 0.000005, 2.632789, 7.410000, G
0.772478, 0.000031, 0.000004, 2.632789, 7.540000, G
0.772478, 0.000026, 0.000004, 2.632789, 7.310000, G
0.772478, 0.000025, 0.000003, 2.632789, 7.070000, G
0.772478, 0.000031, 0.000005, 2.632789, 7.070000, G
0.772478, 0.000022, 0.000003, 2.632789, 7.010000, G
0.772478, 0.000016, 0.000002, 2.632789, 7.350000, G
0.772478, 0.000011, 0.000002, 2.632789, 7.150000, G
0.772478, 0.000008, 0.000002, 2.632789, 6.980000, G
0.772478, 0.000006, 0.000001, 2.632789, 6.840000, G
0.772478, 0.000004, 0.000001, 2.632789, 6.930000, G
0.772478, 0.000003, 0.000001, 2.632789, 6.660000, G
0.772478, 0.000002, 0.000001, 2.632789, 6.340000, G
0.772478, 0.000002, 0.000001, 2.632789, 6.080000, G
0.772478, 0.000002, 0.000000, 2.632789, 6.320000, G
0.772478, 0.000001, 0.000000, 2.632789, 6.670000, G
0.772478, 0.000001, 0.000000, 2.632789, 6.910000, G
0.772478, 0.000002, 0.000000, 2.632789, 6.810000, G
0.772478, 0.000002, 0.000000, 2.632789, 6.710000, G
0.772478, 0.000003, 0.000001, 2.632789, 6.790000, G
0.772478, 0.000002, 0.000000, 2.632789, 6.640000, G
0.772478, 0.000002, 0.000000, 2.632789, 6.390000, G
0.772478, 0.000001, 0.000000, 2.632789, 6.190000, G
0.772478, 0.000001, 0.000000, 2.632789, 6.390000, G
0.772478, 0.000001, 0.000000, 2.632789, 6.780000, G
0.772478, 0.000000, 0.000000, 2.632789, 6.860000, G
0.772478, 0.000000, 0.000000, 2.632789, 6.830000, G
0.772478, 0.000000, 0.000000, 2.632789, 6.480000, G
