amtProduced_need, avg_price, sd, consumption_rate, avg_def, char
0.516535, 3.725116, 1.080961, 4.087576, 9.590000, H
0.516535, 2.903599, 0.661747, 4.087576, 9.330000, H
0.516535, 2.300023, 0.423261, 4.087576, 9.090000, H
0.516535, 2.189980, 0.269077, 4.087576, 8.950000, H
0.516535, 3.172734, 0.415062, 4.087576, 8.670000, H
0.516535, 4.693139, 0.641310, 4.087576, 8.290000, H
0.516535, 3.241055, 0.435972, 4.087576, 7.900000, H
0.516535, 2.275160, 0.366245, 4.087576, 7.530000, H
0.516535, 1.609680, 0.311784, 4.087576, 7.270000, H
0.516535, 1.162413, 0.260633, 4.087576, 7.370000, H
0.516535, 0.882845, 0.217147, 4.087576, 7.670000, H
0.516535, 0.730235, 0.170697, 4.087576, 7.710000, H
0.516535, 0.960145, 0.201507, 4.087576, 7.450000, H
0.516535, 1.430235, 0.306045, 4.087576, 7.310000, H
0.516535, 1.838685, 0.330274, 4.087576, 6.920000, H
0.516535, 1.420720, 0.228686, 4.087576, 6.720000, H
0.516535, 1.086313, 0.175436, 4.087576, 6.830000, H
0.516535, 0.849538, 0.131511, 4.087576, 6.880000, H
0.516535, 0.687299, 0.102240, 4.087576, 7.190000, H
0.516535, 0.580829, 0.084608, 4.087576, 7.230000, H
0.516535, 0.488826, 0.070470, 4.087576, 7.280000, H
0.516535, 0.427258, 0.055176, 4.087576, 7.230000, H
0.516535, 0.351314, 0.043077, 4.087576, 7.160000, H
0.516535, 0.283340, 0.036470, 4.087576, 7.170000, H
0.516535, 0.222265, 0.030973, 4.087576, 7.250000, H
0.516535, 0.189151, 0.025307, 4.087576, 7.450000, H
0.516535, 0.199764, 0.023685, 4.087576, 7.490000, H
0.516535, 0.154003, 0.016408, 4.087576, 7.190000, H
0.516535, 0.122085, 0.013892, 4.087576, 6.960000, H
0.516535, 0.118898, 0.013186, 4.087576, 6.910000, H
0.516535, 0.169193, 0.020808, 4.087576, 6.560000, H
0.516535, 0.124649, 0.013603, 4.087576, 6.340000, H
0.516535, 0.093463, 0.012112, 4.087576, 6.300000, H
0.516535, 0.073513, 0.010781, 4.087576, 6.470000, H
0.516535, 0.066724, 0.008888, 4.087576, 6.400000, H
0.516535, 0.082618, 0.012362, 4.087576, 6.250000, H
0.516535, 0.057954, 0.008778, 4.087576, 6.180000, H
0.516535, 0.040155, 0.006627, 4.087576, 6.850000, H
0.516535, 0.027809, 0.005135, 4.087576, 7.240000, H
0.516535, 0.019360, 0.004008, 4.087576, 7.250000, H
0.516535, 0.013534, 0.003170, 4.087576, 7.120000, H
0.516535, 0.009539, 0.002484, 4.087576, 7.020000, H
0.516535, 0.006790, 0.001877, 4.087576, 7.030000, H
0.516535, 0.005087, 0.001537, 4.087576, 6.860000, H
0.516535, 0.003894, 0.001183, 4.087576, 6.900000, H
