amtProduced_need, avg_price, sd, consumption_rate, avg_def, char
0.637623, 3.108941, 0.752326, 4.042147, 9.590000, I
0.637623, 3.592389, 0.567769, 4.042147, 9.330000, I
0.637623, 3.117714, 0.408155, 4.042147, 9.090000, I
0.637623, 3.215600, 0.353056, 4.042147, 8.950000, I
0.637623, 4.551052, 0.564863, 4.042147, 8.670000, I
0.637623, 3.139879, 0.378195, 4.042147, 8.290000, I
0.637623, 2.209227, 0.305915, 4.042147, 7.900000, I
0.637623, 1.588102, 0.260364, 4.042147, 7.530000, I
0.637623, 1.171488, 0.226813, 4.042147, 7.270000, I
0.637623, 0.895828, 0.187348, 4.042147, 7.370000, I
0.637623, 0.855138, 0.142299, 4.042147, 7.670000, I
0.637623, 1.263648, 0.200792, 4.042147, 7.710000, I
0.637623, 1.883467, 0.312354, 4.042147, 7.450000, I
0.637623, 1.832887, 0.227195, 4.042147, 7.310000, I
0.637623, 1.286293, 0.181869, 4.042147, 6.920000, I
0.637623, 0.904530, 0.153800, 4.042147, 6.720000, I
0.637623, 0.662494, 0.131947, 4.042147, 6.830000, I
0.637623, 0.500487, 0.108029, 4.042147, 6.880000, I
0.637623, 0.392783, 0.088588, 4.042147, 7.190000, I
0.637623, 0.402695, 0.074713, 4.042147, 7.230000, I
0.637623, 0.585148, 0.113364, 4.042147, 7.280000, I
0.637623, 0.420070, 0.066712, 4.042147, 7.230000, I
0.637623, 0.307632, 0.046826, 4.042147, 7.160000, I
0.637623, 0.232730, 0.039432, 4.042147, 7.170000, I
0.637623, 0.185004, 0.034349, 4.042147, 7.250000, I
0.637623, 0.180345, 0.027293, 4.042147, 7.450000, I
0.637623, 0.197835, 0.026375, 4.042147, 7.490000, I
0.637623, 0.154977, 0.017343, 4.042147, 7.190000, I
0.637623, 0.123194, 0.016027, 4.042147, 6.960000, I
0.637623, 0.106556, 0.014446, 4.042147, 6.910000, I
0.637623, 0.138576, 0.019785, 4.042147, 6.560000, I
0.637623, 0.155651, 0.020364, 4.042147, 6.340000, I
0.637623, 0.119640, 0.011420, 4.042147, 6.300000, I
0.637623, 0.085351, 0.008673, 4.042147, 6.470000, I
0.637623, 0.061185, 0.007602, 4.042147, 6.400000, I
0.637623, 0.044726, 0.007377, 4.042147, 6.250000, I
0.637623, 0.033316, 0.006188, 4.042147, 6.180000, I
0.637623, 0.026054, 0.005096, 4.042147, 6.850000, I
0.637623, 0.021588, 0.003877, 4.042147, 7.240000, I
0.637623, 0.021833, 0.003350, 4.042147, 7.250000, I
0.637623, 0.019983, 0.002118, 4.042147, 7.120000, I
0.637623, 0.017232, 0.001834, 4.042147, 7.020000, I
0.637623, 0.013528, 0.001498, 4.042147, 7.030000, I
0.637623, 0.011115, 0.001287, 4.042147, 6.860000, I
0.637623, 0.009466, 0.001182, 4.042147, 6.900000, I
0.637623, 0.007836, 0.000929, 4.042147, 6.810000, I
0.637623, 0.006159, 0.000767, 4.042147, 6.870000, I
0.637623, 0.004849, 0.000610, 4.042147, 6.860000, I
0.637623, 0.003689, 0.000513, 4.042147, 6.820000, I
0.637623, 0.002928, 0.000447, 4.042147, 6.700000, I
0.637623, 0.002444, 0.000388, 4.042147, 6.690000, I
0.637623, 0.002102, 0.000317, 4.042147, 6.930000, I
0.637623, 0.001591, 0.000249, 4.042147, 7.050000, I
0.637623, 0.001200, 0.000196, 4.042147, 7.230000, I
0.637623, 0.000921, 0.000158, 4.042147, 7.250000, I
0.637623, 0.000723, 0.000125, 4.042147, 7.440000, I
0.637623, 0.000599, 0.000101, 4.042147, 7.320000, I
0.637623, 0.000530, 0.000082, 4.042147, 7.510000, I
0.637623, 0.000450, 0.000063, 4.042147, 7.390000, I
0.637623, 0.000390, 0.000048, 4.042147, 7.430000, I
0.637623, 0.000296, 0.000041, 4.042147, 7.480000, I
0.637623, 0.000223, 0.000032, 4.042147, 7.470000, I
0.637623, 0.000176, 0.000028, 4.042147, 7.540000, I
0.637623, 0.000147, 0.000022, 4.042147, 7.510000, I
0.637623, 0.000181, 0.000029, 4.042147, 7.440000, I
0.637623, 0.000125, 0.000020, 4.042147, 7.460000, I
0.637623, 0.000088, 0.000015, 4.042147, 7.760000, I
0.637623, 0.000062, 0.000012, 4.042147, 7.630000, I
0.637623, 0.000045, 0.000010, 4.042147, 7.480000, I
