amtProduced_need, avg_price, sd, consumption_rate, avg_def, char
2.501958, 2.650772, 0.703607, 2.240037, 9.590000, J
2.501958, 2.807327, 0.561883, 2.240037, 9.330000, J
2.501958, 3.745428, 0.686325, 2.240037, 9.090000, J
2.501958, 2.997017, 0.419738, 2.240037, 8.950000, J
2.501958, 2.435406, 0.306477, 2.240037, 8.670000, J
2.501958, 2.032445, 0.249524, 2.240037, 8.290000, J
2.501958, 1.860233, 0.217744, 2.240037, 7.900000, J
2.501958, 2.614002, 0.343127, 2.240037, 7.530000, J
2.501958, 3.894547, 0.528465, 2.240037, 7.270000, J
2.501958, 3.023003, 0.355010, 2.240037, 7.370000, J
2.501958, 2.269060, 0.279189, 2.240037, 7.670000, J
2.501958, 1.717982, 0.239616, 2.240037, 7.710000, J
2.501958, 1.326712, 0.219834, 2.240037, 7.450000, J
2.501958, 1.043589, 0.193512, 2.240037, 7.310000, J
2.501958, 0.856549, 0.165650, 2.240037, 6.920000, J
2.501958, 0.731757, 0.136339, 2.240037, 6.720000, J
2.501958, 0.626764, 0.103489, 2.240037, 6.830000, J
2.501958, 0.599119, 0.102659, 2.240037, 6.880000, J
2.501958, 0.774557, 0.128793, 2.240037, 7.190000, J
2.501958, 0.610561, 0.076132, 2.240037, 7.230000, J
2.501958, 0.468312, 0.054780, 2.240037, 7.280000, J
2.501958, 0.366824, 0.048731, 2.240037, 7.230000, J
2.501958, 0.289757, 0.044678, 2.240037, 7.160000, J
2.501958, 0.228977, 0.039437, 2.240037, 7.170000, J
2.501958, 0.185241, 0.034954, 2.240037, 7.250000, J
2.501958, 0.159884, 0.029004, 2.240037, 7.450000, J
2.501958, 0.142669, 0.023442, 2.240037, 7.490000, J
2.501958, 0.144378, 0.020534, 2.240037, 7.190000, J
2.501958, 0.196572, 0.030543, 2.240037, 6.960000, J
2.501958, 0.135207, 0.020257, 2.240037, 6.910000, J
2.501958, 0.093158, 0.013381, 2.240037, 6.560000, J
2.501958, 0.065246, 0.009989, 2.240037, 6.340000, J
2.501958, 0.045673, 0.008018, 2.240037, 6.300000, J
2.501958, 0.032400, 0.006416, 2.240037, 6.470000, J
2.501958, 0.023285, 0.005200, 2.240037, 6.400000, J
2.501958, 0.017059, 0.004436, 2.240037, 6.250000, J
2.501958, 0.012715, 0.003517, 2.240037, 6.180000, J
2.501958, 0.009890, 0.002750, 2.240037, 6.850000, J
2.501958, 0.007914, 0.002097, 2.240037, 7.240000, J
2.501958, 0.007118, 0.001551, 2.240037, 7.250000, J
2.501958, 0.007889, 0.001383, 2.240037, 7.120000, J
2.501958, 0.011345, 0.001815, 2.240037, 7.020000, J
2.501958, 0.016922, 0.002906, 2.240037, 7.030000, J
2.501958, 0.011944, 0.001778, 2.240037, 6.860000, J
2.501958, 0.008466, 0.001320, 2.240037, 6.900000, J
2.501958, 0.006090, 0.001057, 2.240037, 6.810000, J
2.501958, 0.004391, 0.000861, 2.240037, 6.870000, J
2.501958, 0.003189, 0.000690, 2.240037, 6.860000, J
2.501958, 0.002331, 0.000553, 2.240037, 6.820000, J
2.501958, 0.001757, 0.000446, 2.240037, 6.700000, J
2.501958, 0.001356, 0.000372, 2.240037, 6.690000, J
2.501958, 0.001064, 0.000304, 2.240037, 6.930000, J
2.501958, 0.000877, 0.000236, 2.240037, 7.050000, J
2.501958, 0.000749, 0.000175, 2.240037, 7.230000, J
2.501958, 0.000690, 0.000119, 2.240037, 7.250000, J
2.501958, 0.000805, 0.000137, 2.240037, 7.440000, J
2.501958, 0.000661, 0.000092, 2.240037, 7.320000, J
2.501958, 0.000520, 0.000066, 2.240037, 7.510000, J
2.501958, 0.000403, 0.000055, 2.240037, 7.390000, J
2.501958, 0.000313, 0.000050, 2.240037, 7.430000, J
2.501958, 0.000251, 0.000044, 2.240037, 7.480000, J
2.501958, 0.000202, 0.000036, 2.240037, 7.470000, J
2.501958, 0.000172, 0.000028, 2.240037, 7.540000, J
2.501958, 0.000159, 0.000026, 2.240037, 7.510000, J
2.501958, 0.000144, 0.000019, 2.240037, 7.440000, J
2.501958, 0.000129, 0.000017, 2.240037, 7.460000, J
2.501958, 0.000097, 0.000012, 2.240037, 7.760000, J
2.501958, 0.000073, 0.000011, 2.240037, 7.630000, J
2.501958, 0.000056, 0.000010, 2.240037, 7.480000, J
2.501958, 0.000043, 0.000008, 2.240037, 7.230000, J
2.501958, 0.000035, 0.000007, 2.240037, 7.390000, J
2.501958, 0.000029, 0.000005, 2.240037, 7.460000, J
2.501958, 0.000033, 0.000005, 2.240037, 7.410000, J
2.501958, 0.000042, 0.000007, 2.240037, 7.540000, J
2.501958, 0.000030, 0.000005, 2.240037, 7.310000, J
2.501958, 0.000021, 0.000004, 2.240037, 7.070000, J
2.501958, 0.000015, 0.000003, 2.240037, 7.070000, J
2.501958, 0.000011, 0.000002, 2.240037, 7.010000, J
2.501958, 0.000008, 0.000002, 2.240037, 7.350000, J
2.501958, 0.000006, 0.000002, 2.240037, 7.150000, J
2.501958, 0.000005, 0.000001, 2.240037, 6.980000, J
2.501958, 0.000004, 0.000001, 2.240037, 6.840000, J
2.501958, 0.000003, 0.000001, 2.240037, 6.930000, J
2.501958, 0.000004, 0.000001, 2.240037, 6.660000, J
2.501958, 0.000005, 0.000001, 2.240037, 6.340000, J
2.501958, 0.000008, 0.000001, 2.240037, 6.080000, J
2.501958, 0.000007, 0.000001, 2.240037, 6.320000, J
2.501958, 0.000005, 0.000001, 2.240037, 6.670000, J
2.501958, 0.000004, 0.000001, 2.240037, 6.910000, J
2.501958, 0.000003, 0.000000, 2.240037, 6.810000, J
2.501958, 0.000002, 0.000000, 2.240037, 6.710000, J
2.501958, 0.000002, 0.000000, 2.240037, 6.790000, J
2.501958, 0.000001, 0.000000, 2.240037, 6.640000, J
