amount produced/need, avg price, sd, consumption_rate, avg def comm, char
 year: 1
0.387918, 2.986026, 0.741288, 2.978407, 9.590000, A
1.044679, 2.708589, 0.721227, 1.912332, 9.590000, B
1.464701, 3.212118, 0.733386, 2.021896, 9.590000, C
1.168551, 3.271696, 0.772568, 2.585320, 9.590000, D
1.127113, 2.980803, 0.830279, 2.509260, 9.590000, E
0.671035, 3.120480, 0.606918, 4.986297, 9.590000, F
0.772478, 3.127664, 0.817016, 2.632789, 9.590000, G
0.516535, 3.725116, 1.080961, 4.087576, 9.590000, H
0.637623, 3.108941, 0.752326, 4.042147, 9.590000, I
2.501958, 2.650772, 0.703607, 2.240037, 9.590000, J
amount produced/need, avg price, sd, consumption_rate, avg def comm, char
 year: 2
0.387918, 3.032002, 0.522728, 2.978407, 9.330000, A
1.044679, 2.846524, 0.553075, 1.912332, 9.330000, B
1.464701, 2.901044, 0.455614, 2.021896, 9.330000, C
1.168551, 3.098034, 0.490769, 2.585320, 9.330000, D
1.127113, 3.162014, 0.656887, 2.509260, 9.330000, E
0.671035, 4.086760, 0.717462, 4.986297, 9.330000, F
0.772478, 2.857886, 0.512214, 2.632789, 9.330000, G
0.516535, 2.903599, 0.661747, 4.087576, 9.330000, H
0.637623, 3.592389, 0.567769, 4.042147, 9.330000, I
2.501958, 2.807327, 0.561883, 2.240037, 9.330000, J
amount produced/need, avg price, sd, consumption_rate, avg def comm, char
 year: 3
0.387918, 3.686684, 0.601603, 2.978407, 9.090000, A
1.044679, 3.359809, 0.507399, 1.912332, 9.090000, B
1.464701, 3.029882, 0.369452, 2.021896, 9.090000, C
1.168551, 3.128106, 0.372869, 2.585320, 9.090000, D
1.127113, 3.270715, 0.425590, 2.509260, 9.090000, E
0.671035, 3.055626, 0.432843, 4.986297, 9.090000, F
0.772478, 2.994631, 0.443609, 2.632789, 9.090000, G
0.516535, 2.300023, 0.423261, 4.087576, 9.090000, H
0.637623, 3.117714, 0.408155, 4.042147, 9.090000, I
2.501958, 3.745428, 0.686325, 2.240037, 9.090000, J
amount produced/need, avg price, sd, consumption_rate, avg def comm, char
 year: 4
0.387918, 2.962909, 0.343890, 2.978407, 8.950000, A
1.044679, 3.169795, 0.376419, 1.912332, 8.950000, B
1.464701, 3.553450, 0.464638, 2.021896, 8.950000, C
1.168551, 4.037851, 0.508328, 2.585320, 8.950000, D
1.127113, 3.330238, 0.475853, 2.509260, 8.950000, E
0.671035, 2.364543, 0.300454, 4.986297, 8.950000, F
0.772478, 3.446471, 0.447774, 2.632789, 8.950000, G
0.516535, 2.189980, 0.269077, 4.087576, 8.950000, H
0.637623, 3.215600, 0.353056, 4.042147, 8.950000, I
2.501958, 2.997017, 0.419738, 2.240037, 8.950000, J
amount produced/need, avg price, sd, consumption_rate, avg def comm, char
 year: 5
0.387918, 2.515692, 0.287131, 2.978407, 8.670000, A
1.044679, 3.041344, 0.379496, 1.912332, 8.670000, B
1.464701, 3.052042, 0.367586, 2.021896, 8.670000, C
1.168551, 2.930879, 0.317643, 2.585320, 8.670000, D
1.127113, 3.090926, 0.348117, 2.509260, 8.670000, E
0.671035, 2.056471, 0.239083, 4.986297, 8.670000, F
0.772478, 3.552550, 0.440084, 2.632789, 8.670000, G
0.516535, 3.172734, 0.415062, 4.087576, 8.670000, H
0.637623, 4.551052, 0.564863, 4.042147, 8.670000, I
2.501958, 2.435406, 0.306477, 2.240037, 8.670000, J
amount produced/need, avg price, sd, consumption_rate, avg def comm, char
 year: 6
0.387918, 2.535933, 0.336548, 2.978407, 8.290000, A
1.044679, 3.481025, 0.453635, 1.912332, 8.290000, B
1.464701, 2.759773, 0.386526, 2.021896, 8.290000, C
