amtProduced_need, avg_price, sd, consumption_rate, consumed, char
1, B, 2.619316, 2.807393, 0.953996, 1.912332, 1.570636
2, B, 2.619316, 2.638205, 0.872509, 1.912332, 2.627619
3, B, 2.619316, 2.480023, 0.812674, 1.912332, 2.555945
4, B, 2.619316, 2.326272, 0.761821, 1.912332, 2.825224
5, B, 2.619316, 2.175304, 0.717723, 1.912332, 2.669500
6, B, 2.619316, 2.026316, 0.675826, 1.912332, 2.500009
7, B, 2.619316, 1.881079, 0.633914, 1.912332, 2.415263
8, B, 2.619316, 1.740086, 0.593159, 1.912332, 2.372890
9, B, 2.619316, 1.605326, 0.553261, 1.912332, 2.351704
10, B, 2.619316, 1.477038, 0.514971, 1.912332, 2.341110
11, B, 2.619316, 1.356542, 0.477927, 1.912332, 2.224134
12, B, 2.619316, 1.243391, 0.442444, 1.912332, 2.165645
13, B, 2.619316, 1.137628, 0.408519, 1.912332, 2.136401
14, B, 2.619316, 1.039297, 0.376222, 1.912332, 2.121779
15, B, 2.619316, 0.948102, 0.345774, 1.912332, 1.961350
16, B, 2.619316, 0.863770, 0.317479, 1.912332, 1.881135
17, B, 2.619316, 0.786125, 0.290874, 1.912332, 1.841028
18, B, 2.619316, 0.714852, 0.266087, 1.912332, 1.820974
19, B, 2.619316, 0.649508, 0.243040, 1.912332, 1.810947
20, B, 2.619316, 0.589637, 0.221785, 1.912332, 1.624919
21, B, 2.619316, 0.534880, 0.202151, 1.912332, 1.531905
22, B, 2.619316, 0.484889, 0.184060, 1.912332, 1.485398
23, B, 2.619316, 0.439322, 0.167414, 1.912332, 1.462145
24, B, 2.619316, 0.397806, 0.152126, 1.912332, 1.450518
25, B, 2.619316, 0.360030, 0.138132, 1.912332, 1.444704
26, B, 2.619316, 0.325699, 0.125322, 1.912332, 1.441798
27, B, 2.619316, 0.294500, 0.113629, 1.912332, 1.440344
28, B, 2.619316, 0.266192, 0.102960, 1.912332, 1.439618
29, B, 2.619316, 0.240522, 0.093249, 1.912332, 1.439254
30, B, 2.619316, 0.217265, 0.084401, 1.912332, 1.439073
31, B, 2.619316, 0.196208, 0.076354, 1.912332, 1.438982
32, B, 2.619316, 0.177148, 0.069043, 1.912332, 1.438936
33, B, 2.619316, 0.159909, 0.062401, 1.912332, 1.438914
34, B, 2.619316, 0.144324, 0.056379, 1.912332, 1.438902
35, B, 2.619316, 0.130232, 0.050933, 1.912332, 1.438897
36, B, 2.619316, 0.117496, 0.046000, 1.912332, 1.438894
37, B, 2.619316, 0.105990, 0.041532, 1.912332, 1.438892
38, B, 2.619316, 0.095597, 0.037496, 1.912332, 1.438892
39, B, 2.619316, 0.086210, 0.033844, 1.912332, 1.438891
40, B, 2.619316, 0.077738, 0.030542, 1.912332, 1.438891
41, B, 2.619316, 0.070087, 0.027557, 1.912332, 1.438891
42, B, 2.619316, 0.063181, 0.024860, 1.912332, 1.438891
43, B, 2.619316, 0.056949, 0.022423, 1.912332, 1.438891
44, B, 2.619316, 0.051326, 0.020222, 1.912332, 1.438891
45, B, 2.619316, 0.046253, 0.018235, 1.912332, 1.438891
46, B, 2.619316, 0.041677, 0.016441, 1.912332, 1.438891
47, B, 2.619316, 0.037551, 0.014821, 1.912332, 1.438891
48, B, 2.619316, 0.033830, 0.013360, 1.912332, 1.438891
49, B, 2.619316, 0.030475, 0.012041, 1.912332, 1.438891
50, B, 2.619316, 0.027451, 0.010851, 1.912332, 1.438891
