amtProduced_need, avg_price, sd, consumption_rate, consumed, char
"year","commodity","amount produced/need","avg price","sd","consumption_rate","totalCons"
1, C, 0.898557, 3.049742, 1.029204, 2.021896, 1.574403
2, C, 0.898557, 2.917346, 0.947734, 2.021896, 2.655923
3, C, 0.898557, 2.778924, 0.888175, 2.021896, 4.112171
4, C, 0.898557, 2.630256, 0.837802, 2.021896, 5.172531
5, C, 0.898557, 2.473243, 0.790330, 2.021896, 6.102552
6, C, 0.898557, 2.313256, 0.746438, 2.021896, 6.567562
7, C, 0.898557, 2.155600, 0.703143, 2.021896, 7.202791
8, C, 0.898557, 2.001212, 0.661237, 2.021896, 7.305267
9, C, 0.898557, 1.851852, 0.619234, 2.021896, 7.356504
10, C, 0.898557, 1.708554, 0.578419, 2.021896, 7.382123
11, C, 0.898557, 1.572825, 0.538844, 2.021896, 7.394933
12, C, 0.898557, 1.444619, 0.500311, 2.021896, 7.563751
13, C, 0.898557, 1.324169, 0.463680, 2.021896, 7.648160
14, C, 0.898557, 1.211586, 0.428297, 2.021896, 7.690365
15, C, 0.898557, 1.106823, 0.394953, 2.021896, 7.786670
16, C, 0.898557, 1.009688, 0.363261, 2.021896, 7.834823
17, C, 0.898557, 0.920000, 0.333475, 2.021896, 8.010146
18, C, 0.898557, 0.837513, 0.305523, 2.021896, 8.335253
19, C, 0.898557, 0.761640, 0.279587, 2.021896, 8.497807
20, C, 0.898557, 0.692011, 0.255477, 2.021896, 8.579083
21, C, 0.898557, 0.628232, 0.233171, 2.021896, 8.767121
22, C, 0.898557, 0.569911, 0.212558, 2.021896, 8.861140
23, C, 0.898557, 0.516672, 0.193544, 2.021896, 8.908149
24, C, 0.898557, 0.468100, 0.176055, 2.021896, 9.165731
25, C, 0.898557, 0.423860, 0.159976, 2.021896, 9.294522
26, C, 0.898557, 0.383608, 0.145277, 2.021896, 9.358918
27, C, 0.898557, 0.347003, 0.131807, 2.021896, 9.391115
28, C, 0.898557, 0.313773, 0.119499, 2.021896, 9.407214
29, C, 0.898557, 0.283630, 0.108275, 2.021896, 9.415264
30, C, 0.898557, 0.256329, 0.098014, 2.021896, 9.419288
31, C, 0.898557, 0.231620, 0.088671, 2.021896, 9.421301
32, C, 0.898557, 0.209228, 0.080221, 2.021896, 9.422307
33, C, 0.898557, 0.188969, 0.072546, 2.021896, 9.422810
34, C, 0.898557, 0.170625, 0.065597, 2.021896, 9.423062
35, C, 0.898557, 0.154031, 0.059293, 2.021896, 9.423187
36, C, 0.898557, 0.139021, 0.053584, 2.021896, 9.423250
37, C, 0.898557, 0.125449, 0.048413, 2.021896, 9.423282
38, C, 0.898557, 0.113185, 0.043731, 2.021896, 9.423297
39, C, 0.898557, 0.102100, 0.039495, 2.021896, 9.423305
40, C, 0.898557, 0.092091, 0.035658, 2.021896, 9.423309
41, C, 0.898557, 0.083047, 0.032187, 2.021896, 9.423311
42, C, 0.898557, 0.074881, 0.029049, 2.021896, 9.423312
43, C, 0.898557, 0.067507, 0.026211, 2.021896, 9.423313
44, C, 0.898557, 0.060852, 0.023647, 2.021896, 9.423313
45, C, 0.898557, 0.054846, 0.021330, 2.021896, 9.423313
46, C, 0.898557, 0.049427, 0.019237, 2.021896, 9.423313
47, C, 0.898557, 0.044538, 0.017346, 2.021896, 9.423313
48, C, 0.898557, 0.040130, 0.015640, 2.021896, 9.423313
49, C, 0.898557, 0.036154, 0.014098, 2.021896, 9.423313
50, C, 0.898557, 0.032570, 0.012708, 2.021896, 9.201105
51, C, 0.898557, 0.029338, 0.011453, 2.021896, 9.090001
52, C, 0.898557, 0.026426, 0.010321, 2.021896, 9.034449
53, C, 0.898557, 0.023801, 0.009300, 2.021896, 9.006673
54, C, 0.898557, 0.021435, 0.008379, 2.021896, 8.992785
55, C, 0.898557, 0.019304, 0.007549, 2.021896, 8.985841
56, C, 0.898557, 0.017383, 0.006801, 2.021896, 8.831072
57, C, 0.898557, 0.015654, 0.006126, 2.021896, 8.594676
58, C, 0.898557, 0.014095, 0.005517, 2.021896, 8.476478
59, C, 0.898557, 0.012691, 0.004969, 2.021896, 8.417378
60, C, 0.898557, 0.011427, 0.004475, 2.021896, 8.387829
61, C, 0.898557, 0.010288, 0.004030, 2.021896, 8.373054
62, C, 0.898557, 0.009263, 0.003629, 2.021896, 8.365667
63, C, 0.898557, 0.008339, 0.003268, 2.021896, 8.361973
64, C, 0.898557, 0.007508, 0.002943, 2.021896, 8.360126
65, C, 0.898557, 0.006759, 0.002650, 2.021896, 8.359203
66, C, 0.898557, 0.006084, 0.002386, 2.021896, 8.358741
67, C, 0.898557, 0.005477, 0.002148, 2.021896, 8.013001
68, C, 0.898557, 0.004931, 0.001934, 2.021896, 7.535984
69, C, 0.898557, 0.004438, 0.001741, 2.021896, 7.297475
70, C, 0.898557, 0.003995, 0.001567, 2.021896, 7.178221
71, C, 0.898557, 0.003596, 0.001411, 2.021896, 7.118594
72, C, 0.898557, 0.003237, 0.001270, 2.021896, 7.088780
73, C, 0.898557, 0.002914, 0.001143, 2.021896, 7.073874
74, C, 0.898557, 0.002623, 0.001029, 2.021896, 7.066420
75, C, 0.898557, 0.002361, 0.000927, 2.021896, 7.062694
76, C, 0.898557, 0.002125, 0.000834, 2.021896, 7.060830
77, C, 0.898557, 0.001913, 0.000751, 2.021896, 7.059899
78, C, 0.898557, 0.001722, 0.000676, 2.021896, 6.847431
79, C, 0.898557, 0.001550, 0.000608, 2.021896, 6.741197
80, C, 0.898557, 0.001395, 0.000548, 2.021896, 6.688080
81, C, 0.898557, 0.001255, 0.000493, 2.021896, 6.661522
82, C, 0.898557, 0.001130, 0.000444, 2.021896, 6.648243
83, C, 0.898557, 0.001017, 0.000399, 2.021896, 6.641603
84, C, 0.898557, 0.000915, 0.000359, 2.021896, 6.638283
85, C, 0.898557, 0.000824, 0.000324, 2.021896, 6.636623
86, C, 0.898557, 0.000741, 0.000291, 2.021896, 6.711782
87, C, 0.898557, 0.000667, 0.000262, 2.021896, 6.749361
88, C, 0.898557, 0.000601, 0.000236, 2.021896, 6.768150
89, C, 0.898557, 0.000541, 0.000212, 2.021896, 6.777545
90, C, 0.898557, 0.000487, 0.000191, 2.021896, 6.782243
91, C, 0.898557, 0.000438, 0.000172, 2.021896, 6.784591
92, C, 0.898557, 0.000394, 0.000155, 2.021896, 6.785766
93, C, 0.898557, 0.000355, 0.000139, 2.021896, 6.786353
94, C, 0.898557, 0.000319, 0.000125, 2.021896, 6.786646
95, C, 0.898557, 0.000287, 0.000113, 2.021896, 6.786793
96, C, 0.898557, 0.000259, 0.000102, 2.021896, 6.786867
97, C, 0.898557, 0.000233, 0.000091, 2.021896, 6.786903
98, C, 0.898557, 0.000209, 0.000082, 2.021896, 6.786922
99, C, 0.898557, 0.000189, 0.000074, 2.021896, 6.786931
100, C, 0.898557, 0.000170, 0.000067, 2.021896, 6.786935
