amtProduced_need, avg_price, sd, consumption_rate, consumed, char
1, D, 1.099388, 2.843952, 0.990232, 2.585320, 1.805435
2, D, 1.099388, 2.676566, 0.913032, 2.585320, 2.167946
3, D, 1.099388, 2.509867, 0.853939, 2.585320, 2.348641
4, D, 1.099388, 2.348917, 0.802461, 2.585320, 2.036553
5, D, 1.099388, 2.193232, 0.752622, 2.585320, 1.907885
6, D, 1.099388, 2.040409, 0.705554, 2.585320, 1.843551
7, D, 1.099388, 1.892434, 0.660215, 2.585320, 1.644981
8, D, 1.099388, 1.749802, 0.616140, 2.585320, 1.545697
9, D, 1.099388, 1.613540, 0.573482, 2.585320, 1.496054
10, D, 1.099388, 1.484112, 0.532450, 2.585320, 1.471233
11, D, 1.099388, 1.362529, 0.492751, 2.585320, 1.458823
12, D, 1.099388, 1.248456, 0.455177, 2.585320, 1.452617
13, D, 1.099388, 1.141950, 0.419627, 2.585320, 1.449515
14, D, 1.099388, 1.042942, 0.385969, 2.585320, 1.447963
15, D, 1.099388, 0.951216, 0.354383, 2.585320, 1.272151
16, D, 1.099388, 0.866478, 0.324892, 2.585320, 1.184245
17, D, 1.099388, 0.788498, 0.297229, 2.585320, 1.140292
18, D, 1.099388, 0.716950, 0.271596, 2.585320, 1.118315
19, D, 1.099388, 0.651313, 0.247830, 2.585320, 1.107327
20, D, 1.099388, 0.591185, 0.225968, 2.585320, 1.101833
21, D, 1.099388, 0.536218, 0.205833, 2.585320, 1.099086
22, D, 1.099388, 0.486030, 0.187279, 2.585320, 1.097712
23, D, 1.099388, 0.440294, 0.170247, 2.585320, 1.097025
24, D, 1.099388, 0.398628, 0.154632, 2.585320, 1.096682
25, D, 1.099388, 0.360729, 0.140339, 2.585320, 1.096510
26, D, 1.099388, 0.326291, 0.127274, 2.585320, 1.096424
27, D, 1.099388, 0.295003, 0.115356, 2.585320, 1.096382
28, D, 1.099388, 0.266625, 0.104486, 2.585320, 1.096360
29, D, 1.099388, 0.240908, 0.094574, 2.585320, 1.096349
30, D, 1.099388, 0.217621, 0.085560, 2.585320, 1.096344
31, D, 1.099388, 0.196554, 0.077353, 2.585320, 1.096341
32, D, 1.099388, 0.177483, 0.069925, 2.585320, 1.096340
33, D, 1.099388, 0.160231, 0.063194, 2.585320, 1.096339
34, D, 1.099388, 0.144631, 0.057092, 2.585320, 1.096339
35, D, 1.099388, 0.130523, 0.051575, 2.585320, 1.096339
36, D, 1.099388, 0.117773, 0.046579, 2.585320, 1.096339
37, D, 1.099388, 0.106250, 0.042058, 2.585320, 1.096339
38, D, 1.099388, 0.095838, 0.037972, 2.585320, 1.096339
39, D, 1.099388, 0.086435, 0.034274, 2.585320, 1.096339
40, D, 1.099388, 0.077946, 0.030931, 2.585320, 1.096339
41, D, 1.099388, 0.070280, 0.027909, 2.585320, 1.096339
42, D, 1.099388, 0.063359, 0.025177, 2.585320, 1.096339
43, D, 1.099388, 0.057112, 0.022710, 2.585320, 1.096339
44, D, 1.099388, 0.051476, 0.020481, 2.585320, 1.096339
45, D, 1.099388, 0.046390, 0.018469, 2.585320, 1.096339
46, D, 1.099388, 0.041802, 0.016652, 2.585320, 1.096339
47, D, 1.099388, 0.037664, 0.015013, 2.585320, 1.096339
48, D, 1.099388, 0.033933, 0.013533, 2.585320, 1.096339
49, D, 1.099388, 0.030569, 0.012197, 2.585320, 1.096339
50, D, 1.099388, 0.027536, 0.010992, 2.585320, 1.096339
51, D, 1.099388, 0.024803, 0.009905, 2.585320, 1.096339
52, D, 1.099388, 0.022339, 0.008924, 2.585320, 1.096339
53, D, 1.099388, 0.020119, 0.008040, 2.585320, 1.096339
54, D, 1.099388, 0.018118, 0.007243, 2.585320, 1.096339
55, D, 1.099388, 0.016316, 0.006525, 2.585320, 1.096339
56, D, 1.099388, 0.014692, 0.005877, 2.585320, 1.096339
57, D, 1.099388, 0.013229, 0.005294, 2.585320, 1.096339
58, D, 1.099388, 0.011912, 0.004768, 2.585320, 1.096339
59, D, 1.099388, 0.010725, 0.004294, 2.585320, 1.096339
60, D, 1.099388, 0.009656, 0.003866, 2.585320, 1.096339
61, D, 1.099388, 0.008694, 0.003482, 2.585320, 1.096339
62, D, 1.099388, 0.007827, 0.003135, 2.585320, 1.096339
63, D, 1.099388, 0.007047, 0.002823, 2.585320, 1.096339
64, D, 1.099388, 0.006344, 0.002542, 2.585320, 1.096339
65, D, 1.099388, 0.005711, 0.002288, 2.585320, 1.096339
66, D, 1.099388, 0.005141, 0.002060, 2.585320, 1.096339
67, D, 1.099388, 0.004628, 0.001855, 2.585320, 1.096339
68, D, 1.099388, 0.004166, 0.001670, 2.585320, 1.096339
69, D, 1.099388, 0.003750, 0.001503, 2.585320, 1.096339
70, D, 1.099388, 0.003375, 0.001353, 2.585320, 1.096339
71, D, 1.099388, 0.003038, 0.001218, 2.585320, 1.096339
72, D, 1.099388, 0.002735, 0.001097, 2.585320, 1.096339
73, D, 1.099388, 0.002462, 0.000987, 2.585320, 1.096339
