amtProduced_need, avg_price, sd, consumption_rate, consumed, char
1, E, 1.066443, 2.845538, 0.964764, 2.509260, 1.429881
2, E, 1.066443, 2.725702, 0.875833, 2.509260, 2.093254
3, E, 1.066443, 2.599576, 0.814653, 2.509260, 2.279154
4, E, 1.066443, 2.469314, 0.767063, 2.509260, 2.772436
5, E, 1.066443, 2.329163, 0.725614, 2.509260, 3.019077
6, E, 1.066443, 2.183832, 0.687187, 2.509260, 3.078903
7, E, 1.066443, 2.038672, 0.650024, 2.509260, 3.116205
8, E, 1.066443, 1.894947, 0.613181, 2.509260, 3.134857
9, E, 1.066443, 1.755514, 0.576232, 2.509260, 3.144183
10, E, 1.066443, 1.621198, 0.539837, 2.509260, 3.148845
11, E, 1.066443, 1.493801, 0.503833, 2.509260, 3.296014
12, E, 1.066443, 1.373083, 0.468738, 2.509260, 3.369598
13, E, 1.066443, 1.259478, 0.435291, 2.509260, 3.406390
14, E, 1.066443, 1.153197, 0.402740, 2.509260, 3.424786
15, E, 1.066443, 1.054079, 0.371809, 2.509260, 3.609021
16, E, 1.066443, 0.962012, 0.342585, 2.509260, 3.701138
17, E, 1.066443, 0.876944, 0.314855, 2.509260, 3.747197
18, E, 1.066443, 0.798568, 0.288849, 2.509260, 3.770226
19, E, 1.066443, 0.726448, 0.264491, 2.509260, 3.781741
20, E, 1.066443, 0.660220, 0.241858, 2.509260, 3.787498
21, E, 1.066443, 0.599536, 0.220894, 2.509260, 3.790377
22, E, 1.066443, 0.544009, 0.201481, 2.509260, 3.791816
23, E, 1.066443, 0.493315, 0.183562, 2.509260, 3.792536
24, E, 1.066443, 0.447026, 0.167079, 2.509260, 3.792896
25, E, 1.066443, 0.404857, 0.151921, 2.509260, 3.793076
26, E, 1.066443, 0.366483, 0.138003, 2.509260, 3.793166
27, E, 1.066443, 0.331567, 0.125273, 2.509260, 3.793211
28, E, 1.066443, 0.299871, 0.113598, 2.509260, 3.793233
29, E, 1.066443, 0.271110, 0.102955, 2.509260, 3.793244
