amtProduced_need, avg_price, sd, consumption_rate, consumed, char
1, F, 0.652279, 2.969332, 0.956276, 4.986297, 1.890825
2, F, 0.652279, 2.802718, 0.883381, 4.986297, 3.274498
3, F, 0.652279, 2.635687, 0.825189, 4.986297, 3.644085
4, F, 0.652279, 2.478872, 0.780233, 4.986297, 3.503687
5, F, 0.652279, 2.322713, 0.738207, 4.986297, 3.271759
6, F, 0.652279, 2.166898, 0.697473, 4.986297, 3.155795
7, F, 0.652279, 2.014654, 0.657029, 4.986297, 2.737234
8, F, 0.652279, 1.867067, 0.617123, 4.986297, 2.527954
9, F, 0.652279, 1.725016, 0.577358, 4.986297, 2.423314
10, F, 0.652279, 1.589343, 0.538723, 4.986297, 2.370994
11, F, 0.652279, 1.461357, 0.501190, 4.986297, 2.344834
12, F, 0.652279, 1.340764, 0.464937, 4.986297, 2.331754
13, F, 0.652279, 1.227820, 0.430205, 4.986297, 2.325214
14, F, 0.652279, 1.122513, 0.397082, 4.986297, 2.429819
15, F, 0.652279, 1.024725, 0.365512, 4.986297, 2.629521
16, F, 0.652279, 0.934223, 0.335934, 4.986297, 2.729372
17, F, 0.652279, 0.850726, 0.308125, 4.986297, 2.779297
18, F, 0.652279, 0.773990, 0.282169, 4.986297, 2.804260
19, F, 0.652279, 0.703522, 0.257952, 4.986297, 2.816741
20, F, 0.652279, 0.638881, 0.235610, 4.986297, 2.822982
21, F, 0.652279, 0.579735, 0.214903, 4.986297, 2.678703
22, F, 0.652279, 0.525682, 0.195794, 4.986297, 2.606563
23, F, 0.652279, 0.476393, 0.178175, 4.986297, 2.570494
24, F, 0.652279, 0.431455, 0.161994, 4.986297, 2.552459
25, F, 0.652279, 0.390551, 0.147163, 4.986297, 2.543441
26, F, 0.652279, 0.353362, 0.133575, 4.986297, 2.408667
27, F, 0.652279, 0.319573, 0.121131, 4.986297, 2.341280
28, F, 0.652279, 0.288910, 0.109778, 4.986297, 2.183380
29, F, 0.652279, 0.261114, 0.099432, 4.986297, 2.104430
30, F, 0.652279, 0.235934, 0.090002, 4.986297, 2.064955
31, F, 0.652279, 0.213148, 0.081417, 4.986297, 2.045218
32, F, 0.652279, 0.192507, 0.073645, 4.986297, 2.035349
33, F, 0.652279, 0.173827, 0.066587, 4.986297, 2.030415
34, F, 0.652279, 0.156932, 0.060186, 4.986297, 2.027948
35, F, 0.652279, 0.141647, 0.054397, 4.986297, 2.026714
36, F, 0.652279, 0.127828, 0.049150, 4.986297, 2.026097
37, F, 0.652279, 0.115335, 0.044397, 4.986297, 1.917914
38, F, 0.652279, 0.104050, 0.040094, 4.986297, 1.863822
39, F, 0.652279, 0.093851, 0.036204, 4.986297, 1.836776
40, F, 0.652279, 0.084644, 0.032682, 4.986297, 1.823253
41, F, 0.652279, 0.076326, 0.029497, 4.986297, 1.816492
42, F, 0.652279, 0.068817, 0.026618, 4.986297, 1.813111
43, F, 0.652279, 0.062038, 0.024016, 4.986297, 1.811421
44, F, 0.652279, 0.055920, 0.021665, 4.986297, 1.810576
45, F, 0.652279, 0.050399, 0.019541, 4.986297, 1.810153
46, F, 0.652279, 0.045418, 0.017622, 4.986297, 1.809942
47, F, 0.652279, 0.040925, 0.015890, 4.986297, 1.809836
48, F, 0.652279, 0.036873, 0.014326, 4.986297, 1.809783
49, F, 0.652279, 0.033219, 0.012914, 4.986297, 1.809757
50, F, 0.652279, 0.029925, 0.011640, 4.986297, 1.809744
51, F, 0.652279, 0.026956, 0.010490, 4.986297, 1.809737
52, F, 0.652279, 0.024279, 0.009454, 4.986297, 1.809734
53, F, 0.652279, 0.021867, 0.008518, 4.986297, 1.809732
54, F, 0.652279, 0.019694, 0.007675, 4.986297, 1.809731
55, F, 0.652279, 0.017735, 0.006914, 4.986297, 1.809731
56, F, 0.652279, 0.015971, 0.006228, 4.986297, 1.809731
57, F, 0.652279, 0.014381, 0.005610, 4.986297, 1.809730
58, F, 0.652279, 0.012949, 0.005053, 4.986297, 1.809730
59, F, 0.652279, 0.011660, 0.004551, 4.986297, 1.809730
60, F, 0.652279, 0.010498, 0.004099, 4.986297, 1.809730
61, F, 0.652279, 0.009452, 0.003691, 4.986297, 1.809730
62, F, 0.652279, 0.008509, 0.003324, 4.986297, 1.809730
63, F, 0.652279, 0.007661, 0.002993, 4.986297, 1.809730
64, F, 0.652279, 0.006897, 0.002695, 4.986297, 1.809730
65, F, 0.652279, 0.006209, 0.002427, 4.986297, 1.809730
66, F, 0.652279, 0.005589, 0.002185, 4.986297, 1.809730
67, F, 0.652279, 0.005032, 0.001967, 4.986297, 1.809730
68, F, 0.652279, 0.004529, 0.001771, 4.986297, 1.809730
69, F, 0.652279, 0.004077, 0.001594, 4.986297, 1.809730
70, F, 0.652279, 0.003670, 0.001435, 4.986297, 1.809730
71, F, 0.652279, 0.003304, 0.001292, 4.986297, 1.809730
72, F, 0.652279, 0.002974, 0.001163, 4.986297, 1.809730
73, F, 0.652279, 0.002677, 0.001047, 4.986297, 1.778328
74, F, 0.652279, 0.002409, 0.000943, 4.986297, 1.762627
75, F, 0.652279, 0.002169, 0.000849, 4.986297, 1.754777
76, F, 0.652279, 0.001952, 0.000764, 4.986297, 1.575741
77, F, 0.652279, 0.001757, 0.000688, 4.986297, 1.486223
78, F, 0.652279, 0.001581, 0.000619, 4.986297, 1.441464
79, F, 0.652279, 0.001423, 0.000557, 4.986297, 1.419085
80, F, 0.652279, 0.001281, 0.000501, 4.986297, 1.407895
81, F, 0.652279, 0.001153, 0.000451, 4.986297, 1.402300
82, F, 0.652279, 0.001038, 0.000406, 4.986297, 1.399503
83, F, 0.652279, 0.000934, 0.000366, 4.986297, 1.398104
84, F, 0.652279, 0.000841, 0.000329, 4.986297, 1.397405
85, F, 0.652279, 0.000757, 0.000296, 4.986297, 1.397055
86, F, 0.652279, 0.000681, 0.000267, 4.986297, 1.396880
87, F, 0.652279, 0.000613, 0.000240, 4.986297, 1.396793
88, F, 0.652279, 0.000552, 0.000216, 4.986297, 1.396749
89, F, 0.652279, 0.000497, 0.000194, 4.986297, 1.396727
90, F, 0.652279, 0.000447, 0.000175, 4.986297, 1.396716
91, F, 0.652279, 0.000402, 0.000157, 4.986297, 1.396711
92, F, 0.652279, 0.000362, 0.000142, 4.986297, 1.396708
93, F, 0.652279, 0.000326, 0.000128, 4.986297, 1.396707
94, F, 0.652279, 0.000293, 0.000115, 4.986297, 1.396706
95, F, 0.652279, 0.000264, 0.000103, 4.986297, 1.396706
96, F, 0.652279, 0.000238, 0.000093, 4.986297, 1.396705
97, F, 0.652279, 0.000214, 0.000084, 4.986297, 1.396705
98, F, 0.652279, 0.000192, 0.000075, 4.986297, 1.396705
99, F, 0.652279, 0.000173, 0.000068, 4.986297, 1.396705
100, F, 0.652279, 0.000156, 0.000061, 4.986297, 1.396705
