amtProduced_need, avg_price, sd, consumption_rate, consumed, char
1, G, 1.521494, 2.980767, 1.033859, 2.632789, 1.277395
2, G, 1.521494, 2.813007, 0.956686, 2.632789, 1.907980
3, G, 1.521494, 2.653349, 0.895451, 2.632789, 1.820876
4, G, 1.521494, 2.495810, 0.842928, 2.632789, 1.443007
5, G, 1.521494, 2.334782, 0.792574, 2.632789, 1.329275
6, G, 1.521494, 2.174216, 0.744554, 2.632789, 1.423656
7, G, 1.521494, 2.017519, 0.697052, 2.632789, 1.470847
8, G, 1.521494, 1.865792, 0.650942, 2.632789, 1.736177
9, G, 1.521494, 1.720776, 0.605973, 2.632789, 1.868842
10, G, 1.521494, 1.582948, 0.562874, 2.632789, 1.935174
11, G, 1.521494, 1.453442, 0.521584, 2.632789, 1.823504
12, G, 1.521494, 1.331885, 0.481932, 2.632789, 1.767668
13, G, 1.521494, 1.218367, 0.444431, 2.632789, 1.739750
14, G, 1.521494, 1.112809, 0.408828, 2.632789, 1.725792
15, G, 1.521494, 1.014986, 0.375421, 2.632789, 1.643609
16, G, 1.521494, 0.924623, 0.344212, 2.632789, 1.602518
17, G, 1.521494, 0.841437, 0.314975, 2.632789, 1.430726
18, G, 1.521494, 0.765085, 0.287880, 2.632789, 1.344830
19, G, 1.521494, 0.695042, 0.262755, 2.632789, 1.301882
20, G, 1.521494, 0.630893, 0.239571, 2.632789, 1.280408
21, G, 1.521494, 0.572238, 0.218215, 2.632789, 1.269671
22, G, 1.521494, 0.518700, 0.198585, 2.632789, 1.264302
23, G, 1.521494, 0.469897, 0.180540, 2.632789, 1.261618
24, G, 1.521494, 0.425440, 0.164011, 2.632789, 1.260276
25, G, 1.521494, 0.385001, 0.148864, 2.632789, 1.259605
26, G, 1.521494, 0.348262, 0.135008, 2.632789, 1.259269
27, G, 1.521494, 0.314879, 0.122374, 2.632789, 1.259101
28, G, 1.521494, 0.284600, 0.110847, 2.632789, 1.259018
29, G, 1.521494, 0.257157, 0.100341, 2.632789, 1.159268
30, G, 1.521494, 0.232292, 0.090794, 2.632789, 1.109394
31, G, 1.521494, 0.209789, 0.082115, 2.632789, 1.084456
32, G, 1.521494, 0.189428, 0.074226, 2.632789, 1.071988
33, G, 1.521494, 0.171008, 0.067081, 2.632789, 1.065753
34, G, 1.521494, 0.154348, 0.060612, 2.632789, 1.062636
35, G, 1.521494, 0.139286, 0.054752, 2.632789, 1.061078
36, G, 1.521494, 0.125670, 0.049451, 2.632789, 1.060298
37, G, 1.521494, 0.113367, 0.044650, 2.632789, 1.059909
38, G, 1.521494, 0.102252, 0.040311, 2.632789, 1.059714
39, G, 1.521494, 0.092213, 0.036386, 2.632789, 1.059616
40, G, 1.521494, 0.083151, 0.032836, 2.632789, 1.059568
41, G, 1.521494, 0.074968, 0.029626, 2.632789, 1.059543
42, G, 1.521494, 0.067583, 0.026725, 2.632789, 0.991544
43, G, 1.521494, 0.060916, 0.024106, 2.632789, 0.957545
44, G, 1.521494, 0.054902, 0.021740, 2.632789, 0.940545
45, G, 1.521494, 0.049476, 0.019603, 2.632789, 0.932045
46, G, 1.521494, 0.044581, 0.017674, 2.632789, 0.927795
47, G, 1.521494, 0.040167, 0.015933, 2.632789, 0.925670
48, G, 1.521494, 0.036187, 0.014362, 2.632789, 0.924608
49, G, 1.521494, 0.032599, 0.012944, 2.632789, 0.924076
50, G, 1.521494, 0.029364, 0.011665, 2.632789, 0.923811
51, G, 1.521494, 0.026448, 0.010511, 2.632789, 0.923678
52, G, 1.521494, 0.023821, 0.009471, 2.632789, 0.923612
53, G, 1.521494, 0.021453, 0.008532, 2.632789, 0.923578
54, G, 1.521494, 0.019319, 0.007687, 2.632789, 0.923562
55, G, 1.521494, 0.017397, 0.006924, 2.632789, 0.923553
56, G, 1.521494, 0.015665, 0.006237, 2.632789, 0.923549
57, G, 1.521494, 0.014106, 0.005617, 2.632789, 0.923547
58, G, 1.521494, 0.012701, 0.005059, 2.632789, 0.923546
59, G, 1.521494, 0.011435, 0.004556, 2.632789, 0.923546
60, G, 1.521494, 0.010296, 0.004103, 2.632789, 0.923545
61, G, 1.521494, 0.009269, 0.003694, 2.632789, 0.923545
62, G, 1.521494, 0.008345, 0.003327, 2.632789, 0.923545
63, G, 1.521494, 0.007513, 0.002995, 2.632789, 0.923545
64, G, 1.521494, 0.006763, 0.002697, 2.632789, 0.923545
65, G, 1.521494, 0.006089, 0.002428, 2.632789, 0.923545
66, G, 1.521494, 0.005481, 0.002186, 2.632789, 0.923545
67, G, 1.521494, 0.004934, 0.001968, 2.632789, 0.923545
68, G, 1.521494, 0.004441, 0.001772, 2.632789, 0.923545
69, G, 1.521494, 0.003998, 0.001595, 2.632789, 0.923545
70, G, 1.521494, 0.003599, 0.001436, 2.632789, 0.923545
71, G, 1.521494, 0.003239, 0.001293, 2.632789, 0.923545
72, G, 1.521494, 0.002916, 0.001164, 2.632789, 0.923545
73, G, 1.521494, 0.002625, 0.001048, 2.632789, 0.923545
74, G, 1.521494, 0.002362, 0.000943, 2.632789, 0.841060
75, G, 1.521494, 0.002126, 0.000849, 2.632789, 0.799817
76, G, 1.521494, 0.001914, 0.000764, 2.632789, 0.779196
77, G, 1.521494, 0.001723, 0.000688, 2.632789, 0.768885
78, G, 1.521494, 0.001551, 0.000619, 2.632789, 0.763730
79, G, 1.521494, 0.001396, 0.000557, 2.632789, 0.761152
80, G, 1.521494, 0.001256, 0.000502, 2.632789, 0.759863
81, G, 1.521494, 0.001131, 0.000451, 2.632789, 0.759219
82, G, 1.521494, 0.001018, 0.000406, 2.632789, 0.758897
83, G, 1.521494, 0.000916, 0.000366, 2.632789, 0.758736
84, G, 1.521494, 0.000824, 0.000329, 2.632789, 0.758655
85, G, 1.521494, 0.000742, 0.000296, 2.632789, 0.758615
86, G, 1.521494, 0.000668, 0.000267, 2.632789, 0.758595
87, G, 1.521494, 0.000601, 0.000240, 2.632789, 0.758585
88, G, 1.521494, 0.000541, 0.000216, 2.632789, 0.758580
89, G, 1.521494, 0.000487, 0.000194, 2.632789, 0.758577
90, G, 1.521494, 0.000438, 0.000175, 2.632789, 0.758576
91, G, 1.521494, 0.000394, 0.000158, 2.632789, 0.758575
92, G, 1.521494, 0.000355, 0.000142, 2.632789, 0.758575
93, G, 1.521494, 0.000319, 0.000128, 2.632789, 0.758575
94, G, 1.521494, 0.000288, 0.000115, 2.632789, 0.758575
95, G, 1.521494, 0.000259, 0.000103, 2.632789, 0.758575
96, G, 1.521494, 0.000233, 0.000093, 2.632789, 0.758575
97, G, 1.521494, 0.000210, 0.000084, 2.632789, 0.758575
98, G, 1.521494, 0.000189, 0.000075, 2.632789, 0.758575
99, G, 1.521494, 0.000170, 0.000068, 2.632789, 0.758575
100, G, 1.521494, 0.000153, 0.000061, 2.632789, 0.758575
