amtProduced_need, avg_price, sd, consumption_rate, consumed, char
1, H, 0.645030, 2.739225, 0.971460, 4.087576, 1.740422
2, H, 0.645030, 2.576838, 0.878082, 4.087576, 2.604358
3, H, 0.645030, 2.419465, 0.811360, 4.087576, 3.039282
4, H, 0.645030, 2.268681, 0.759650, 4.087576, 3.256744
5, H, 0.645030, 2.121397, 0.714821, 4.087576, 3.153474
6, H, 0.645030, 1.978819, 0.671679, 4.087576, 3.101838
7, H, 0.645030, 1.840091, 0.629821, 4.087576, 3.076021
8, H, 0.645030, 1.704802, 0.589630, 4.087576, 2.821377
9, H, 0.645030, 1.574919, 0.549940, 4.087576, 2.694055
10, H, 0.645030, 1.450870, 0.512194, 4.087576, 2.360060
11, H, 0.645030, 1.333926, 0.475241, 4.087576, 2.193063
12, H, 0.645030, 1.223748, 0.439886, 4.087576, 2.109564
13, H, 0.645030, 1.120567, 0.406218, 4.087576, 2.067815
14, H, 0.645030, 1.024434, 0.374261, 4.087576, 2.046940
15, H, 0.645030, 0.935151, 0.344279, 4.087576, 2.036503
16, H, 0.645030, 0.852468, 0.316118, 4.087576, 2.031284
17, H, 0.645030, 0.776261, 0.289707, 4.087576, 2.028675
18, H, 0.645030, 0.706218, 0.265100, 4.087576, 2.027370
19, H, 0.645030, 0.641929, 0.242178, 4.087576, 2.026718
20, H, 0.645030, 0.582965, 0.221032, 4.087576, 2.026392
21, H, 0.645030, 0.529018, 0.201494, 4.087576, 2.026229
22, H, 0.645030, 0.479705, 0.183526, 4.087576, 2.026147
23, H, 0.645030, 0.434745, 0.166946, 4.087576, 2.026106
24, H, 0.645030, 0.393758, 0.151736, 4.087576, 1.792009
25, H, 0.645030, 0.356445, 0.137793, 4.087576, 1.674960
26, H, 0.645030, 0.322519, 0.125016, 4.087576, 1.616436
27, H, 0.645030, 0.291676, 0.113363, 4.087576, 1.587173
28, H, 0.645030, 0.263692, 0.102714, 4.087576, 1.572542
29, H, 0.645030, 0.238311, 0.093019, 4.087576, 1.565227
30, H, 0.645030, 0.215309, 0.084204, 4.087576, 1.561569
31, H, 0.645030, 0.194486, 0.076176, 4.087576, 1.559740
32, H, 0.645030, 0.175636, 0.068880, 4.087576, 1.558826
33, H, 0.645030, 0.158582, 0.062259, 4.087576, 1.558368
34, H, 0.645030, 0.143154, 0.056264, 4.087576, 1.558140
35, H, 0.645030, 0.129203, 0.050835, 4.087576, 1.558026
36, H, 0.645030, 0.116587, 0.045925, 4.087576, 1.557968
