amtProduced_need, avg_price, sd, consumption_rate, consumed, char
1, I, 0.682972, 2.841269, 0.996006, 4.042147, 1.266334
2, I, 0.682972, 2.720231, 0.893185, 4.042147, 2.220222
3, I, 0.682972, 2.599821, 0.825240, 4.042147, 3.255787
4, I, 0.682972, 2.472984, 0.775359, 4.042147, 4.617286
5, I, 0.682972, 2.336799, 0.732858, 4.042147, 5.601624
6, I, 0.682972, 2.194519, 0.693128, 4.042147, 6.248916
7, I, 0.682972, 2.051403, 0.654640, 4.042147, 6.639401
8, I, 0.682972, 1.909063, 0.617847, 4.042147, 7.049783
9, I, 0.682972, 1.770393, 0.580450, 4.042147, 7.254973
10, I, 0.682972, 1.636416, 0.544210, 4.042147, 7.627903
11, I, 0.682972, 1.508991, 0.508566, 4.042147, 7.926047
12, I, 0.682972, 1.388001, 0.473395, 4.042147, 8.075120
13, I, 0.682972, 1.273881, 0.439721, 4.042147, 8.149656
14, I, 0.682972, 1.166951, 0.406918, 4.042147, 8.186924
15, I, 0.682972, 1.067172, 0.375819, 4.042147, 8.358676
16, I, 0.682972, 0.974358, 0.346461, 4.042147, 8.515582
17, I, 0.682972, 0.888521, 0.318555, 4.042147, 8.594034
18, I, 0.682972, 0.809435, 0.292404, 4.042147, 8.633261
19, I, 0.682972, 0.736670, 0.267808, 4.042147, 8.652874
20, I, 0.682972, 0.669778, 0.244993, 4.042147, 9.044663
21, I, 0.682972, 0.608479, 0.223784, 4.042147, 9.240557
22, I, 0.682972, 0.552393, 0.204186, 4.042147, 9.338504
23, I, 0.682972, 0.501170, 0.186049, 4.042147, 9.387478
24, I, 0.682972, 0.454423, 0.169358, 4.042147, 9.411965
25, I, 0.682972, 0.411809, 0.154025, 4.042147, 9.424208
26, I, 0.682972, 0.373006, 0.139946, 4.042147, 9.560596
27, I, 0.682972, 0.337679, 0.127086, 4.042147, 9.628789
28, I, 0.682972, 0.305568, 0.115330, 4.042147, 9.787092
29, I, 0.682972, 0.276398, 0.104607, 4.042147, 9.965951
30, I, 0.682972, 0.249917, 0.094828, 4.042147, 10.055380
31, I, 0.682972, 0.225910, 0.085909, 4.042147, 10.100095
32, I, 0.682972, 0.204142, 0.077789, 4.042147, 10.122453
33, I, 0.682972, 0.184424, 0.070395, 4.042147, 10.133631
34, I, 0.682972, 0.166574, 0.063676, 4.042147, 10.139221
35, I, 0.682972, 0.150425, 0.057573, 4.042147, 10.142015
36, I, 0.682972, 0.135824, 0.052030, 4.042147, 10.143413
37, I, 0.682972, 0.122627, 0.046999, 4.042147, 10.251986
38, I, 0.682972, 0.110705, 0.042446, 4.042147, 10.306273
39, I, 0.682972, 0.099936, 0.038323, 4.042147, 10.333417
40, I, 0.682972, 0.090212, 0.034592, 4.042147, 10.346988
41, I, 0.682972, 0.081429, 0.031219, 4.042147, 10.353774
42, I, 0.682972, 0.073500, 0.028171, 4.042147, 10.425154
43, I, 0.682972, 0.066340, 0.025418, 4.042147, 10.460844
44, I, 0.682972, 0.059879, 0.022932, 4.042147, 10.723655
45, I, 0.682972, 0.054046, 0.020688, 4.042147, 10.855060
46, I, 0.682972, 0.048782, 0.018662, 4.042147, 10.920763
47, I, 0.682972, 0.044031, 0.016832, 4.042147, 10.953614
48, I, 0.682972, 0.039744, 0.015182, 4.042147, 10.970040
49, I, 0.682972, 0.035874, 0.013693, 4.042147, 10.978253
50, I, 0.682972, 0.032383, 0.012350, 4.042147, 11.204568
51, I, 0.682972, 0.029233, 0.011139, 4.042147, 11.317725
52, I, 0.682972, 0.026389, 0.010047, 4.042147, 11.374304
53, I, 0.682972, 0.023823, 0.009062, 4.042147, 11.402593
54, I, 0.682972, 0.021507, 0.008175, 4.042147, 11.416738
55, I, 0.682972, 0.019416, 0.007375, 4.042147, 11.423810
56, I, 0.682972, 0.017528, 0.006653, 4.042147, 11.578642
57, I, 0.682972, 0.015825, 0.006001, 4.042147, 11.815071
58, I, 0.682972, 0.014287, 0.005414, 4.042147, 11.933285
59, I, 0.682972, 0.012899, 0.004884, 4.042147, 11.992393
60, I, 0.682972, 0.011647, 0.004406, 4.042147, 12.021946
61, I, 0.682972, 0.010516, 0.003975, 4.042147, 12.036723
62, I, 0.682972, 0.009495, 0.003587, 4.042147, 12.044111
63, I, 0.682972, 0.008573, 0.003236, 4.042147, 12.306407
64, I, 0.682972, 0.007741, 0.002919, 4.042147, 12.437555
65, I, 0.682972, 0.006990, 0.002635, 4.042147, 12.683889
66, I, 0.682972, 0.006311, 0.002377, 4.042147, 12.807055
67, I, 0.682972, 0.005699, 0.002145, 4.042147, 13.214148
68, I, 0.682972, 0.005146, 0.001935, 4.042147, 13.721841
69, I, 0.682972, 0.004647, 0.001746, 4.042147, 13.975688
70, I, 0.682972, 0.004196, 0.001576, 4.042147, 14.102611
71, I, 0.682972, 0.003789, 0.001422, 4.042147, 14.166073
72, I, 0.682972, 0.003421, 0.001283, 4.042147, 14.197804
73, I, 0.682972, 0.003090, 0.001158, 4.042147, 14.245071
74, I, 0.682972, 0.002790, 0.001045, 4.042147, 14.351190
75, I, 0.682972, 0.002520, 0.000943, 4.042147, 14.404250
76, I, 0.682972, 0.002275, 0.000851, 4.042147, 14.605890
77, I, 0.682972, 0.002055, 0.000768, 4.042147, 14.706710
78, I, 0.682972, 0.001856, 0.000693, 4.042147, 14.969122
79, I, 0.682972, 0.001676, 0.000625, 4.042147, 15.100328
80, I, 0.682972, 0.001514, 0.000564, 4.042147, 15.165931
81, I, 0.682972, 0.001367, 0.000509, 4.042147, 15.198732
82, I, 0.682972, 0.001235, 0.000460, 4.042147, 15.215133
83, I, 0.682972, 0.001115, 0.000415, 4.042147, 15.223333
84, I, 0.682972, 0.001007, 0.000374, 4.042147, 15.227434
85, I, 0.682972, 0.000909, 0.000338, 4.042147, 15.407354
86, I, 0.682972, 0.000821, 0.000305, 4.042147, 15.497314
87, I, 0.682972, 0.000742, 0.000275, 4.042147, 15.542294
88, I, 0.682972, 0.000670, 0.000248, 4.042147, 15.564784
89, I, 0.682972, 0.000605, 0.000224, 4.042147, 15.751065
90, I, 0.682972, 0.000547, 0.000202, 4.042147, 16.105131
91, I, 0.682972, 0.000494, 0.000183, 4.042147, 16.282164
92, I, 0.682972, 0.000446, 0.000165, 4.042147, 16.462309
93, I, 0.682972, 0.000403, 0.000149, 4.042147, 16.552382
94, I, 0.682972, 0.000364, 0.000134, 4.042147, 16.597418
95, I, 0.682972, 0.000329, 0.000121, 4.042147, 16.793676
