amtProduced_need, avg_price, sd, consumption_rate, consumed, char
1, J, 1.602319, 2.698761, 0.963925, 2.240037, 1.309465
2, J, 1.602319, 2.545879, 0.888623, 2.240037, 1.721607
3, J, 1.602319, 2.395150, 0.828996, 2.240037, 2.252335
4, J, 1.602319, 2.247361, 0.776863, 2.240037, 1.886212
5, J, 1.602319, 2.101256, 0.729149, 2.240037, 1.561237
6, J, 1.602319, 1.956303, 0.683617, 2.240037, 1.247504
7, J, 1.602319, 1.816813, 0.639639, 2.240037, 1.090637
8, J, 1.602319, 1.681279, 0.596715, 2.240037, 1.012203
9, J, 1.602319, 1.551594, 0.555180, 2.240037, 0.972987
10, J, 1.602319, 1.428049, 0.515261, 2.240037, 0.953378
11, J, 1.602319, 1.311912, 0.477320, 2.240037, 0.943574
12, J, 1.602319, 1.202763, 0.441088, 2.240037, 0.938672
13, J, 1.602319, 1.100691, 0.406959, 2.240037, 0.936221
14, J, 1.602319, 1.005715, 0.374437, 2.240037, 0.934996
15, J, 1.602319, 0.917618, 0.343820, 2.240037, 0.934383
16, J, 1.602319, 0.836130, 0.315364, 2.240037, 0.863047
17, J, 1.602319, 0.761064, 0.288692, 2.240037, 0.827380
18, J, 1.602319, 0.692154, 0.263849, 2.240037, 0.675599
19, J, 1.602319, 0.628899, 0.240864, 2.240037, 0.599709
20, J, 1.602319, 0.570937, 0.219671, 2.240037, 0.561764
21, J, 1.602319, 0.517938, 0.200085, 2.240037, 0.542791
22, J, 1.602319, 0.469528, 0.182077, 2.240037, 0.533305
23, J, 1.602319, 0.425411, 0.165529, 2.240037, 0.528562
24, J, 1.602319, 0.385205, 0.150371, 2.240037, 0.526190
25, J, 1.602319, 0.348625, 0.136482, 2.240037, 0.525005
26, J, 1.602319, 0.315377, 0.123789, 2.240037, 0.524412
27, J, 1.602319, 0.285165, 0.112199, 2.240037, 0.524115
28, J, 1.602319, 0.257771, 0.101597, 2.240037, 0.523967
29, J, 1.602319, 0.232954, 0.091945, 2.240037, 0.523893
30, J, 1.602319, 0.210481, 0.083183, 2.240037, 0.523856
31, J, 1.602319, 0.190131, 0.075230, 2.240037, 0.523837
32, J, 1.602319, 0.171706, 0.068016, 2.240037, 0.523828
33, J, 1.602319, 0.155040, 0.061470, 2.240037, 0.523824
34, J, 1.602319, 0.139959, 0.055550, 2.240037, 0.523821
35, J, 1.602319, 0.126322, 0.050186, 2.240037, 0.523820
36, J, 1.602319, 0.113992, 0.045332, 2.240037, 0.523819
37, J, 1.602319, 0.102848, 0.040935, 2.240037, 0.523819
38, J, 1.602319, 0.092777, 0.036960, 2.240037, 0.523819
39, J, 1.602319, 0.083680, 0.033366, 2.240037, 0.523819
40, J, 1.602319, 0.075465, 0.030115, 2.240037, 0.523819
41, J, 1.602319, 0.068045, 0.027175, 2.240037, 0.523819
42, J, 1.602319, 0.061346, 0.024516, 2.240037, 0.523819
43, J, 1.602319, 0.055299, 0.022115, 2.240037, 0.523819
44, J, 1.602319, 0.049843, 0.019946, 2.240037, 0.523819
45, J, 1.602319, 0.044919, 0.017987, 2.240037, 0.523819
46, J, 1.602319, 0.040477, 0.016218, 2.240037, 0.523819
47, J, 1.602319, 0.036471, 0.014621, 2.240037, 0.523819
48, J, 1.602319, 0.032858, 0.013180, 2.240037, 0.523819
49, J, 1.602319, 0.029601, 0.011879, 2.240037, 0.523819
50, J, 1.602319, 0.026664, 0.010705, 2.240037, 0.523819
51, J, 1.602319, 0.024017, 0.009647, 2.240037, 0.523819
52, J, 1.602319, 0.021632, 0.008692, 2.240037, 0.523819
53, J, 1.602319, 0.019482, 0.007831, 2.240037, 0.523819
54, J, 1.602319, 0.017545, 0.007055, 2.240037, 0.523819
55, J, 1.602319, 0.015800, 0.006355, 2.240037, 0.523819
56, J, 1.602319, 0.014227, 0.005724, 2.240037, 0.523819
57, J, 1.602319, 0.012811, 0.005156, 2.240037, 0.523819
58, J, 1.602319, 0.011535, 0.004643, 2.240037, 0.523819
59, J, 1.602319, 0.010386, 0.004182, 2.240037, 0.523819
60, J, 1.602319, 0.009351, 0.003766, 2.240037, 0.523819
61, J, 1.602319, 0.008419, 0.003391, 2.240037, 0.523819
62, J, 1.602319, 0.007580, 0.003053, 2.240037, 0.523819
63, J, 1.602319, 0.006824, 0.002749, 2.240037, 0.523819
64, J, 1.602319, 0.006143, 0.002475, 2.240037, 0.523819
65, J, 1.602319, 0.005530, 0.002229, 2.240037, 0.523819
66, J, 1.602319, 0.004978, 0.002007, 2.240037, 0.523819
67, J, 1.602319, 0.004482, 0.001807, 2.240037, 0.523819
68, J, 1.602319, 0.004034, 0.001626, 2.240037, 0.523819
69, J, 1.602319, 0.003631, 0.001464, 2.240037, 0.523819
70, J, 1.602319, 0.003269, 0.001318, 2.240037, 0.523819
71, J, 1.602319, 0.002942, 0.001187, 2.240037, 0.523819
72, J, 1.602319, 0.002649, 0.001068, 2.240037, 0.523819
73, J, 1.602319, 0.002384, 0.000962, 2.240037, 0.523819
74, J, 1.602319, 0.002146, 0.000866, 2.240037, 0.523819
75, J, 1.602319, 0.001932, 0.000779, 2.240037, 0.523819
76, J, 1.602319, 0.001739, 0.000701, 2.240037, 0.523819
77, J, 1.602319, 0.001565, 0.000631, 2.240037, 0.523819
78, J, 1.602319, 0.001408, 0.000568, 2.240037, 0.523819
79, J, 1.602319, 0.001268, 0.000511, 2.240037, 0.523819
80, J, 1.602319, 0.001141, 0.000460, 2.240037, 0.523819
81, J, 1.602319, 0.001027, 0.000414, 2.240037, 0.523819
82, J, 1.602319, 0.000924, 0.000373, 2.240037, 0.523819
83, J, 1.602319, 0.000832, 0.000336, 2.240037, 0.523819
84, J, 1.602319, 0.000749, 0.000302, 2.240037, 0.523819
85, J, 1.602319, 0.000674, 0.000272, 2.240037, 0.523819
86, J, 1.602319, 0.000607, 0.000245, 2.240037, 0.447831
87, J, 1.602319, 0.000546, 0.000220, 2.240037, 0.409836
88, J, 1.602319, 0.000491, 0.000198, 2.240037, 0.390839
89, J, 1.602319, 0.000442, 0.000178, 2.240037, 0.381341
90, J, 1.602319, 0.000398, 0.000161, 2.240037, 0.376592
91, J, 1.602319, 0.000358, 0.000145, 2.240037, 0.374217
92, J, 1.602319, 0.000322, 0.000130, 2.240037, 0.373030
93, J, 1.602319, 0.000290, 0.000117, 2.240037, 0.372436
94, J, 1.602319, 0.000261, 0.000105, 2.240037, 0.372139
95, J, 1.602319, 0.000235, 0.000095, 2.240037, 0.371991
96, J, 1.602319, 0.000212, 0.000085, 2.240037, 0.371917
97, J, 1.602319, 0.000190, 0.000077, 2.240037, 0.371879
98, J, 1.602319, 0.000171, 0.000069, 2.240037, 0.371861
99, J, 1.602319, 0.000154, 0.000062, 2.240037, 0.371852
100, J, 1.602319, 0.000139, 0.000056, 2.240037, 0.371847
